3369004       2 
1212276       3 
 545500       4 
 241145       5 
 112948       6 
  60816       7 
  35637       8 
  21578       9 
  13336      10 
   7932      11 
   4662      12 
   2728      13 
   1453      14 
    641      15 
    281      16 
    105      17 
     50      18 
     15      19 
     19      20 
     17      21 
     21      22 
      6      23 
      9      24 
      5      25 
      8      26 
      5      27 
      6      28 
      6      29 
      4      30 
      3      31 
      3      32 
      4      33 
      2      34 
      3      35 
      6      36 
      3      37 
      2      38 
      1      39 
      2      40 
      2      41 
      4      42 
      1      43 
      3      44 
      1      46 
      1      47 
      3      48 
      2      50 
      4      51 
      6      52 
      1      53 
      4      54 
      1      55 
      2      56 
      1      57 
      3      58 
      1      59 
      1      60 
      2      62 
      1      64 
      2      66 
      1      67 
      2      70 
      1      71 
      2      73 
      2      75 
      1      76 
      1      77 
      1      78 
      1      80 
      1      82 
      2      83 
      1      86 
      1      87 
      1      94 
      1     101 
      1     104 
      1     118 
      1     128 
      1     132 
      1     135 
      1     144 
      1     157 
      1     171 
      1     172 
      1     175 
      1     186 
      1     203 
      1     206 
      1     223 
      1     237 
      1     252 
      1     268 
      1     319 
      1     371 
      1     378 
      1     385 
