class_weight,criterion,max_depth,accuracy_tr,accuracy_val,log_accuracy_tr,log_accuracy_val
balanced,gini,20.0,1.0,0.9992531740104555,-inf,7.19967834569115
balanced,gini,22.0,1.0,0.9992531740104555,-inf,7.19967834569115
balanced,gini,50.0,1.0,0.9992531740104555,-inf,7.19967834569115
balanced,gini,40.0,1.0,0.9992531740104555,-inf,7.19967834569115
balanced,gini,35.0,1.0,0.9992531740104555,-inf,7.19967834569115
balanced,gini,28.0,1.0,0.9992531740104555,-inf,7.19967834569115
balanced,gini,26.0,1.0,0.9992531740104555,-inf,7.19967834569115
balanced,gini,24.0,1.0,0.9992531740104555,-inf,7.19967834569115
balanced,gini,,1.0,0.9992531740104555,-inf,7.19967834569115
balanced,gini,18.0,0.9999759084037511,0.9992049916885495,10.633647481642182,7.137157988709852
balanced,gini,16.0,0.9998915878168798,0.9990845358837842,9.12957008486642,6.996079390449899
balanced,gini,14.0,0.9995543054693946,0.9989881712399721,7.715876749558027,6.895995931892974
balanced,gini,12.0,0.9988797407744243,0.9985063480209111,6.79419516904902,6.5065311651312046
balanced,gini,10.0,0.9983738172531966,0.9980727071237563,6.421519883763868,6.251638915502434
balanced,gini,8.0,0.9955852149873821,0.9954949529017804,5.422796140875616,5.402556933321738
balanced,gini,6.0,0.9924894448693934,0.9924835577826495,4.891445897082217,4.890662362366832
balanced,gini,4.0,0.9850511645275337,0.9853766653015009,4.2031218769977094,4.225136759116824
balanced,gini,2.0,0.9614715146988851,0.9619841480160929,3.2563574333121217,3.269752048770499
