class_weight,max_depth,n_estimators,accuracy_tr,accuracy_val,log_accuracy_tr,log_accuracy_val
,23.0,25,0.999982021717765,0.999520590632341,10.926346071024138,7.642955695773173
,24.0,50,0.9999880144785099,0.999520590632341,11.331811179129215,7.642955695773173
,21.0,50,0.9999760289570199,0.999520590632341,10.63866399856927,7.642955695773173
,21.0,40,0.9999760289570199,0.999520590632341,10.63866399856927,7.642955695773173
balanced,18.0,40,0.999982021717765,0.999496620163958,10.926346071024138,7.594165531603674
,24.0,40,0.999982021717765,0.999496620163958,10.926346071024138,7.594165531603674
,21.0,25,0.9999640434355299,0.999496620163958,10.233198890464193,7.594165531603674
,18.0,75,0.9999460651532949,0.999496620163958,9.82773378235603,7.594165531603674
,18.0,50,0.9999460651532949,0.999496620163958,9.82773378235603,7.594165531603674
,18.0,100,0.9999520579140398,0.999472649695575,9.94551681801164,7.547645515968721
,23.0,40,0.999982021717765,0.999472649695575,10.926346071024138,7.547645515968721
,22.0,75,0.9999880144785099,0.999472649695575,11.331811179129215,7.547645515968721
,24.0,25,0.999982021717765,0.999472649695575,10.926346071024138,7.547645515968721
,18.0,40,0.9999460651532949,0.999472649695575,9.82773378235603,7.547645515968721
,22.0,40,0.9999880144785099,0.999472649695575,11.331811179129215,7.547645515968721
balanced,20.0,100,0.999982021717765,0.999472649695575,10.926346071024138,7.547645515968721
,,40,0.999982021717765,0.999472649695575,10.926346071024138,7.547645515968721
,,75,0.9999880144785099,0.999472649695575,11.331811179129215,7.547645515968721
,14.0,25,0.9998561737421195,0.999472649695575,8.846904529343531,7.547645515968721
,15.0,100,0.9998981230673346,0.999472649695575,9.191745015634579,7.547645515968721
,20.0,40,0.9999700361962749,0.999472649695575,10.415520447256913,7.547645515968721
,19.0,10,0.9999161013495698,0.999472649695575,9.385901030076548,7.547645515968721
balanced,18.0,25,0.9999640434355299,0.999472649695575,10.233198890464193,7.547645515968721
,18.0,25,0.9999280868710597,0.999472649695575,9.540051709902704,7.547645515968721
