C,class_weight,degree,gamma,kernel,accuracy_val,std_accuracy_val,log_accuracy_val
1.0,,2,2.5,linear,0.9957360913529932,0.0003880034084060881,-5.45756901659604
1.0,,4,1.5,linear,0.9957360913529932,0.0003880034084060881,-5.45756901659604
1.0,,4,auto,linear,0.9957360913529932,0.0003880034084060881,-5.45756901659604
1.0,,3,1.5,linear,0.9957360913529932,0.0003880034084060881,-5.45756901659604
1.0,,4,2.5,linear,0.9957360913529932,0.0003880034084060881,-5.45756901659604
1.0,,2,auto,linear,0.9957360913529932,0.0003880034084060881,-5.45756901659604
1.0,,4,2,linear,0.9957360913529932,0.0003880034084060881,-5.45756901659604
1.0,,3,2,linear,0.9957360913529932,0.0003880034084060881,-5.45756901659604
1.0,,2,2,linear,0.9957360913529932,0.0003880034084060881,-5.45756901659604
1.0,,3,2.5,linear,0.9957360913529932,0.0003880034084060881,-5.45756901659604
1.0,,2,1.5,linear,0.9957360913529932,0.0003880034084060881,-5.45756901659604
1.0,,3,auto,linear,0.9957360913529932,0.0003880034084060881,-5.45756901659604
0.9,,2,2,linear,0.9957322465300473,0.0003907747609603522,-5.456667709640026
0.9,,2,auto,linear,0.9957322465300473,0.0003907747609603522,-5.456667709640026
0.9,,3,1.5,linear,0.9957322465300473,0.0003907747609603522,-5.456667709640026
0.9,,2,2.5,linear,0.9957322465300473,0.0003907747609603522,-5.456667709640026
0.9,,4,2,linear,0.9957322465300473,0.0003907747609603522,-5.456667709640026
0.9,,2,1.5,linear,0.9957322465300473,0.0003907747609603522,-5.456667709640026
0.9,,3,auto,linear,0.9957322465300473,0.0003907747609603522,-5.456667709640026
0.9,,3,2,linear,0.9957322465300473,0.0003907747609603522,-5.456667709640026
0.9,,4,auto,linear,0.9957322465300473,0.0003907747609603522,-5.456667709640026
0.9,,4,1.5,linear,0.9957322465300473,0.0003907747609603522,-5.456667709640026
0.9,,4,2.5,linear,0.9957322465300473,0.0003907747609603522,-5.456667709640026
0.9,,3,2.5,linear,0.9957322465300473,0.0003907747609603522,-5.456667709640026
0.8,,3,2.5,linear,0.9957245568841555,0.0003830570685361812,-5.454867529135877
0.8,,4,auto,linear,0.9957245568841555,0.0003830570685361812,-5.454867529135877
0.8,,4,2,linear,0.9957245568841555,0.0003830570685361812,-5.454867529135877
0.8,,4,1.5,linear,0.9957245568841555,0.0003830570685361812,-5.454867529135877
0.8,,3,auto,linear,0.9957245568841555,0.0003830570685361812,-5.454867529135877
0.8,,3,2,linear,0.9957245568841555,0.0003830570685361812,-5.454867529135877
0.8,,3,1.5,linear,0.9957245568841555,0.0003830570685361812,-5.454867529135877
0.8,,2,auto,linear,0.9957245568841555,0.0003830570685361812,-5.454867529135877
0.8,,2,2.5,linear,0.9957245568841555,0.0003830570685361812,-5.454867529135877
0.8,,2,2,linear,0.9957245568841555,0.0003830570685361812,-5.454867529135877
0.8,,2,1.5,linear,0.9957245568841555,0.0003830570685361812,-5.454867529135877
0.8,,4,2.5,linear,0.9957245568841555,0.0003830570685361812,-5.454867529135877
0.5,,3,2.5,linear,0.9957207120612097,0.0003783977781634523,-5.453968652670884
0.5,,4,2,linear,0.9957207120612097,0.0003783977781634523,-5.453968652670884
0.5,,4,1.5,linear,0.9957207120612097,0.0003783977781634523,-5.453968652670884
0.5,,3,auto,linear,0.9957207120612097,0.0003783977781634523,-5.453968652670884
0.5,,2,2,linear,0.9957207120612097,0.0003783977781634523,-5.453968652670884
0.5,,3,2,linear,0.9957207120612097,0.0003783977781634523,-5.453968652670884
0.5,,3,1.5,linear,0.9957207120612097,0.0003783977781634523,-5.453968652670884
0.5,,2,auto,linear,0.9957207120612097,0.0003783977781634523,-5.453968652670884
0.5,,2,2.5,linear,0.9957207120612097,0.0003783977781634523,-5.453968652670884
0.5,,4,auto,linear,0.9957207120612097,0.0003783977781634523,-5.453968652670884
0.5,,4,2.5,linear,0.9957207120612097,0.0003783977781634523,-5.453968652670884
0.5,,2,1.5,linear,0.9957207120612097,0.0003783977781634523,-5.453968652670884
0.7,,2,1.5,linear,0.9957168672382638,0.00038030721731332313,-5.453070583459198
0.7,,2,2,linear,0.9957168672382638,0.00038030721731332313,-5.453070583459198
0.7,,2,2.5,linear,0.9957168672382638,0.00038030721731332313,-5.453070583459198
0.7,,2,auto,linear,0.9957168672382638,0.00038030721731332313,-5.453070583459198
0.7,,3,1.5,linear,0.9957168672382638,0.00038030721731332313,-5.453070583459198
0.7,,3,2.5,linear,0.9957168672382638,0.00038030721731332313,-5.453070583459198
0.7,,3,auto,linear,0.9957168672382638,0.00038030721731332313,-5.453070583459198
0.7,,4,1.5,linear,0.9957168672382638,0.00038030721731332313,-5.453070583459198
0.7,,4,2,linear,0.9957168672382638,0.00038030721731332313,-5.453070583459198
0.7,,4,2.5,linear,0.9957168672382638,0.00038030721731332313,-5.453070583459198
0.7,,4,auto,linear,0.9957168672382638,0.00038030721731332313,-5.453070583459198
0.7,,3,2,linear,0.9957168672382638,0.00038030721731332313,-5.453070583459198
0.7,,4,auto,poly,0.9955054019762389,0.00036381859332334935,-5.404879042474317
0.5,,4,auto,poly,0.9946364719904649,0.0004660014233880887,-5.228133309690943
