class_weight,dropout_rate,l2_alpha,number_of_hidden1_layers,number_of_hidden2_layers,sgd_learnrate,accuracy_tr,accuracy_val,log_accuracy_tr,log_accuracy_val
[ 0.50285418 88.09083192],0.1,0.0,50,55,0.003,0.9992059469223022,0.9989284157752991,7.1383602504655626,6.838617141659287
[ 0.50285418 88.09083192],0.2,0.0,55,50,0.002,0.999122142791748,0.9989245653152465,7.038026610525773,6.835030341222941
[ 0.50285418 88.09083192],0.2,0.0,65,55,0.002,0.9991433024406433,0.9989207148551941,7.062425607887455,6.831456359957954
[ 0.50285418 88.09083192],0.1,0.0,50,55,0.002,0.9992097616195679,0.9989207148551941,7.143175910637351,6.831456359957954
[ 0.50285418 88.09083192],0.2,0.0,55,60,0.002,0.9990825653076172,0.9989207148551941,6.9939291605332,6.831456359957954
[ 0.50285418 88.09083192],0.1,0.0,65,50,0.003,0.9992319941520691,0.9989207029342652,7.171713210352222,6.831445314810957
[ 0.50285418 88.09083192],0.1,0.0,55,55,0.002,0.9992348551750183,0.9989207029342652,7.175445428353761,6.831445314810957
[ 0.50285418 88.09083192],0.2,0.0,70,45,0.001,0.9992040395736694,0.9989168643951416,7.135961089020873,6.827895106559393
[ 0.50285418 88.09083192],0.1,0.0,65,55,0.002,0.9992694854736328,0.9989168524742127,7.221761441458315,6.8278841006767905
[ 0.50285418 88.09083192],0.2,0.0,65,55,0.001,0.9991982579231262,0.9989168524742127,7.128723601730106,6.8278841006767905
[ 0.50285418 88.09083192],0.2,0.0,55,0,0.003,0.9989679455757141,0.9989130139350891,6.876203876602165,6.824346490694451
[ 0.50285418 88.09083192],0.1,0.0,75,50,0.003,0.9991586804389954,0.9989130020141601,7.080538992751098,6.824335523797966
[ 0.50285418 88.09083192],0.2,0.0,50,60,0.003,0.9990739822387695,0.9989130020141601,6.984617142907581,6.824335523797966
[ 0.50285418 88.09083192],0.1,0.0,55,50,0.002,0.9991847276687622,0.9989129900932312,7.111988351780646,6.824324557021855
[ 0.50285418 88.09083192],0.2,0.0,65,45,0.003,0.9991337060928345,0.9989091515541076,7.051286322262106,6.820799494803099
[ 0.50285418 88.09083192],0.2,0.0,50,50,0.001,0.9991250038146973,0.9989053010940552,7.04129103127018,6.8172759252652195
[ 0.50285418 88.09083192],0.2,0.0,60,0,0.001,0.9989862442016602,0.9989052891731263,6.894093232856958,6.817265035637087
[ 0.50285418 88.09083192],0.1,0.0,70,45,0.003,0.9991828203201294,0.9989052891731263,7.109651560882328,6.817265035637087
[ 0.50285418 88.09083192],0.1,0.0,55,0,0.003,0.9990450143814087,0.9989052891731263,6.953814276663626,6.817265035637087
[ 0.50285418 88.09083192],0.1,0.0,65,45,0.003,0.9991963505744934,0.9989014387130737,7.126347421804613,6.813753876229064
[ 0.50285418 88.09083192],0.2,0.0,65,45,0.002,0.9991510510444641,0.9989014387130737,7.071511496504101,6.813753876229064
[ 0.50285418 88.09083192],0.2,0.0,65,0,0.002,0.9989496469497681,0.9989014387130737,6.858628933012012,6.813753876229064
[ 0.50285418 88.09083192],0.1,0.0,65,60,0.003,0.9991480708122253,0.9988975882530212,7.068007147529572,6.8102550019391
[ 0.50285418 88.09083192],0.2,0.0,75,0,0.002,0.999030590057373,0.9988975763320923,6.938822978130505,6.810244188498033
[ 0.50285418 88.09083192],0.2,0.0,65,60,0.002,0.999181866645813,0.9988975763320923,7.108485209970107,6.810244188498033
[ 0.50285418 88.09083192],0.1,0.0,65,50,0.002,0.9992426037788391,0.9988937258720398,7.185624031734153,6.806757551294527
[ 0.50285418 88.09083192],0.1,0.0,65,0,0.001,0.999069094657898,0.9988937258720398,6.979352959216067,6.806757551294527
[ 0.50285418 88.09083192],0.2,0.0,50,55,0.001,0.999098002910614,0.9988898754119873,7.010899264751661,6.803283028503576
[ 0.50285418 88.09083192],0.1,0.0,75,0,0.003,0.9991047978401184,0.9988898754119873,7.018460988233107,6.803283028503576
[ 0.50285418 88.09083192],0.1,0.0,60,0,0.002,0.9990777969360352,0.9988898754119873,6.988745115745612,6.803283028503576
[ 0.50285418 88.09083192],0.2,0.0,60,50,0.002,0.9991384744644165,0.9988898634910583,7.056805861595761,6.803272290190927
[ 0.50285418 88.09083192],0.2,0.0,55,55,0.002,0.9990922808647156,0.9988860249519348,7.004575549586996,6.799820536233095
[ 0.50285418 88.09083192],0.2,0.0,60,60,0.002,0.9991201162338257,0.9988821744918823,7.03572074310869,6.796369991459117
[ 0.50285418 88.09083192],0.2,0.0,55,45,0.003,0.9990758895874023,0.9988821506500244,6.98667899930814,6.79634866290336
[ 0.50285418 88.09083192],0.2,0.0,55,55,0.003,0.9991520047187805,0.9988783240318299,7.0726354867875205,6.792931312014259
[ 0.50285418 88.09083192],0.2,0.0,60,60,0.001,0.9991433024406433,0.9988783121109008,7.062425607887455,6.792920684287524
[ 0.50285418 88.09083192],0.2,0.0,75,0,0.003,0.9989948272705078,0.9988783121109008,6.902595882097598,6.792920684287524
[ 0.50285418 88.09083192],0.1,0.0,55,50,0.003,0.9991751909255981,0.9988783121109008,7.100358623379931,6.792920684287524
[ 0.50285418 88.09083192],0.2,0.0,70,0,0.001,0.9990594983100891,0.9988783001899719,6.969097112403018,6.7929100566738345
[ 0.50285418 88.09083192],0.2,0.0,65,0,0.001,0.9989708065986633,0.9988783001899719,6.878979889026257,6.7929100566738345
[ 0.50285418 88.09083192],0.2,0.0,55,0,0.002,0.9990035891532898,0.9988783001899719,6.911350888736057,6.7929100566738345
[ 0.50285418 88.09083192],0.1,0.0,50,45,0.002,0.9992116689682007,0.9988744616508484,7.145592465204079,6.7894938252067245
[ 0.50285418 88.09083192],0.1,0.0,55,0,0.002,0.9990565180778503,0.9988744497299195,6.965933353752949,6.789483233949847
[ 0.50285418 88.09083192],0.2,0.0,70,0,0.002,0.9990113377571106,0.9988744497299195,6.919157798432645,6.789483233949847
[ 0.50285418 88.09083192],0.2,0.0,75,55,0.003,0.99909508228302,0.998870599269867,7.007666538861974,6.786068114247075
[ 0.50285418 88.09083192],0.2,0.0,70,0,0.003,0.9990054965019226,0.998870599269867,6.913266942253213,6.786068114247075
