class_weight,dropout_rate,l2_alpha,number_of_hidden_layers,sgd_learnrate,accuracy_tr,accuracy_val,log_accuracy_tr,log_accuracy_val
[ 0.50283981 88.53395586],0.1,0.0,50,0.001,0.9984610676765442,0.9986806511878967,-6.476666399454992,-6.630616988272446
,0.1,0.0,50,0.001,0.9984639286994934,0.9986269354820252,-6.478527225733367,-6.590710162786988
,0.0,0.0,40,0.001,0.9985723495483398,0.9986154437065125,-6.551725226779278,-6.582375556383854
,0.1,0.0,80,0.001,0.9985368847846985,0.9986077785491944,-6.527187407275667,-6.576854641500654
,0.0,0.0,80,0.001,0.9986451268196106,0.9985924243927002,-6.604047422839204,-6.565886481951056
[ 0.50283981 88.53395586],0.0,0.0,40,0.001,0.9985799789428711,0.9985732674598694,-6.557083578514897,-6.552368386133748
,0.1,0.0,40,0.001,0.9983921051025391,0.9985579252243042,-6.432829472637105,-6.541672385918893
[ 0.50283981 88.53395586],0.1,0.0,25,0.001,0.9983153343200684,0.9985502481460571,-6.386188144399706,-6.5363628724067375
,0.0,0.0,25,0.001,0.9985262155532837,0.9985464215278625,-6.519921732871815,-6.533726851024006
[ 0.50283981 88.53395586],0.0,0.0,15,0.001,0.9985204935073853,0.998542582988739,-6.516046697749221,-6.531089580461227
[ 0.50283981 88.53395586],0.0,0.0,25,0.001,0.9985349774360657,0.9985272407531738,-6.525884634628763,-6.52061759896992
[ 0.50283981 88.53395586],0.0,0.0,80,0.001,0.9986394047737122,0.9985234022140503,-6.599833008594055,-6.518014630764915
[ 0.50283981 88.53395586],0.1,0.0,80,0.001,0.9984792470932007,0.9985195636749268,-6.488549733340452,-6.51541842041663
,0.1,0.0,25,0.001,0.9983393549919128,0.9985157370567321,-6.4005491929945695,-6.512836964441967
[ 0.50283981 88.53395586],0.1,0.0,40,0.001,0.9983834028244019,0.9985118985176087,-6.427431847790797,-6.510254144364991
,0.0,0.0,15,0.001,0.9984925985336304,0.9985118865966797,-6.497367993774676,-6.5102461335663895
[ 0.50283981 88.53395586],0.1,0.0,20,0.001,0.9982942342758179,0.998500382900238,-6.373741163972007,-6.502545470285438
[ 0.50283981 88.53395586],0.1,0.0,15,0.001,0.9982663989067078,0.9984965682029724,-6.357554477093825,-6.500004919366336
,0.1,0.0,20,0.001,0.9982855916023254,0.9984927296638488,-6.368687215499964,-6.497454988464072
,0.0,0.0,50,0.001,0.9986585378646851,0.9984812140464783,-6.613995114128745,-6.489843978054893
[ 0.50283981 88.53395586],0.0,0.0,20,0.001,0.9984591603279114,0.998458206653595,-6.475427769530811,-6.47480902942058
[ 0.50283981 88.53395586],0.0,0.0,50,0.001,0.998630702495575,0.9984275221824646,-6.5934574411465166,-6.455102675984919
,0.1,0.0,15,0.001,0.9981743693351746,0.9984236836433411,-6.305829781875798,-6.452664573770191
[ 0.50283981 88.53395586],0.0,0.0,8,0.001,0.9982194900512695,0.9984045028686523,-6.330855467657184,-6.440569910212083
,0.0,0.0,20,0.001,0.9984332919120789,0.9983853340148926,-6.458778620185139,-6.428627164064734
,0.0,0.0,8,0.001,0.9982040524482727,0.9983546376228333,-6.322222512352986,-6.409794628954138
,0.1,0.0,8,0.001,0.9979778528213501,0.9983354806900024,-6.2035953723830195,-6.3982188999365475
[ 0.50283981 88.53395586],0.1,0.0,8,0.001,0.997889518737793,0.9983278036117553,-6.160839271147856,-6.393617314133036
