class_weight,dropout_rate,l2_alpha,number_of_hidden_layers,sgd_learnrate,accuracy_tr,accuracy_val,log_accuracy_tr,log_accuracy_val
[ 0.50283981 88.53395586],0.1,0.0,75,0.004,0.9989596605300903,0.9990219950675965,-6.868208205715431,-6.929995844584792
[ 0.50283981 88.53395586],0.1,0.0,65,0.002,0.9989519119262695,0.9990104913711548,-6.860787656795285,-6.9183020725502065
[ 0.50283981 88.53395586],0.1,0.0,75,0.002,0.9989941716194153,0.9989874958992004,-6.901943817697957,-6.895328708819377
,0.1,0.0,60,0.003,0.998926043510437,0.998983645439148,-6.836405796227302,-6.89153301348767
[ 0.50283981 88.53395586],0.2,0.0,55,0.004,0.9988091588020325,0.9989798188209533,-6.733095332538738,-6.887775040943331
,0.1,0.0,75,0.004,0.99896639585495,0.9989683151245117,-6.8747034146401385,-6.8765620117615365
,0.2,0.0,70,0.002,0.9988733530044556,0.9989644765853882,-6.788509317883686,-6.872848265494592
,0.2,0.0,75,0.003,0.99888676404953,0.9989644646644592,-6.80048423412508,-6.872836753576815
[ 0.50283981 88.53395586],0.1,0.0,50,0.003,0.9989539384841919,0.9989606261253356,-6.862723104544676,-6.86913679072184
[ 0.50283981 88.53395586],0.2,0.0,75,0.002,0.9989231824874878,0.9989529728889466,-6.833745335728898,-6.8618004533951495
,0.2,0.0,65,0.002,0.9988762140274048,0.9989529728889466,-6.791051961482592,-6.8618004533951495
,0.1,0.0,70,0.004,0.9989548921585083,0.9989529728889466,-6.8636352012901565,-6.8618004533951495
[ 0.50283981 88.53395586],0.1,0.0,70,0.004,0.9989749789237976,0.9989529609680176,-6.883042104454488,-6.861789067958198
,0.1,0.0,70,0.002,0.998971164226532,0.9989529609680176,-6.879327433051998,-6.861789067958198
[ 0.50283981 88.53395586],0.2,0.0,70,0.002,0.9988829493522644,0.9989529490470886,-6.797063417277008,-6.861777682650979
,0.1,0.0,60,0.001,0.9988676309585571,0.9989491105079651,-6.7834433439885595,-6.858118338157928
[ 0.50283981 88.53395586],0.2,0.0,65,0.002,0.9988560676574707,0.9989452958106995,-6.773283528919157,-6.854494940659124
,0.1,0.0,45,0.004,0.9988848567008972,0.9989452958106995,-6.798772362953269,-6.854494940659124
,0.2,0.0,60,0.002,0.9988542795181274,0.9989452838897706,-6.771721598055458,-6.854483638095179
,0.1,0.0,45,0.002,0.9988935589790344,0.9989414691925049,-6.806606702229464,-6.850873362952172
,0.1,0.0,75,0.003,0.9989423751831055,0.9989414691925049,-6.851729623848539,-6.850873362952172
[ 0.50283981 88.53395586],0.1,0.0,55,0.002,0.9989404678344727,0.9989414572715759,-6.849927821559276,-6.850862101246974
[ 0.50283981 88.53395586],0.2,0.0,75,0.004,0.9988685846328735,0.9989414572715759,-6.78428589274825,-6.850862101246974
[ 0.50283981 88.53395586],0.2,0.0,75,0.003,0.9988752603530884,0.9989376068115234,-6.790203695076092,-6.8472311907116765
[ 0.50283981 88.53395586],0.2,0.0,60,0.002,0.9988349676132202,0.9989337682723999,-6.755006392539906,-6.843624596374282
,0.1,0.0,75,0.002,0.9989836812019348,0.9989299535751343,-6.891568201420536,-6.840053243724547
,0.2,0.0,75,0.002,0.9988868832588196,0.9989299535751343,-6.800591323437669,-6.840053243724547
,0.2,0.0,60,0.003,0.9988724589347839,0.9989261150360107,-6.787716065773024,-6.836472398511744
[ 0.50283981 88.53395586],0.1,0.0,75,0.003,0.9989433288574219,0.9989222884178162,-6.852631743891677,-6.832915391287534
[ 0.50283981 88.53395586],0.2,0.0,55,0.003,0.998827338218689,0.9989222884178162,-6.748479087365984,-6.832915391287534
[ 0.50283981 88.53395586],0.1,0.0,55,0.004,0.9989414215087891,0.9989222764968873,-6.850828316892526,-6.832904330013648
[ 0.50283981 88.53395586],0.2,0.0,60,0.003,0.9988167881965637,0.9989184498786926,-6.739522670758518,-6.829359969394079
[ 0.50283981 88.53395586],0.1,0.0,70,0.003,0.9989501237869263,0.9989184498786926,-6.859083014073283,-6.829359969394079
,0.1,0.0,50,0.004,0.9988810420036316,0.9989184379577637,-6.795357387114326,-6.829348947377642
,0.1,0.0,65,0.004,0.9988455772399902,0.998914611339569,-6.764154834820793,-6.825817143753693
[ 0.50283981 88.53395586],0.1,0.0,60,0.003,0.9989088773727417,0.998914611339569,-6.820548179493962,-6.825817143753693
,0.2,0.0,50,0.003,0.9988235235214233,0.998914611339569,-6.7452313427067345,-6.825817143753693
[ 0.50283981 88.53395586],0.2,0.0,50,0.003,0.9988061785697937,0.998914611339569,-6.730595831137455,-6.825817143753693
,0.2,0.0,55,0.002,0.9988647699356079,0.9989145994186401,-6.780919948684696,-6.8258061607170335
,0.1,0.0,55,0.003,0.9989221692085266,0.9989107847213745,-6.832804784053708,-6.822297769880121
[ 0.50283981 88.53395586],0.2,0.0,65,0.003,0.9987842440605164,0.9989107728004456,-6.712389223244118,-6.822286825428725
,0.2,0.0,55,0.003,0.9988561868667603,0.9989107608795166,-6.773387744436942,-6.822275881097007
,0.1,0.0,50,0.003,0.9989222288131714,0.998906946182251,-6.832860086141376,-6.8187798324372
[ 0.50283981 88.53395586],0.1,0.0,45,0.004,0.9988465309143066,0.998906946182251,-6.764981281148824,-6.8187798324372
,0.1,0.0,60,0.002,0.9989491701126099,0.998906946182251,-6.858175058046771,-6.8187798324372
,0.1,0.0,50,0.002,0.9989385604858398,0.9989030957221985,-6.848129259923361,-6.815263359653493
[ 0.50283981 88.53395586],0.1,0.0,60,0.002,0.9988896250724792,0.9989030957221985,-6.803057548148979,-6.815263359653493
[ 0.50283981 88.53395586],0.1,0.0,65,0.004,0.9988800883293152,0.9988992571830749,-6.794505462245165,-6.811770038968534
,0.1,0.0,70,0.003,0.9989404678344727,0.9988954305648804,-6.849927821559276,-6.808299671421752
[ 0.50283981 88.53395586],0.1,0.0,65,0.003,0.9989136457443237,0.9988954305648804,-6.824927908382615,-6.808299671421752
,0.1,0.0,65,0.002,0.9989423751831055,0.9988916039466857,-6.851729623848539,-6.804841305687083
[ 0.50283981 88.53395586],0.2,0.0,70,0.003,0.9988473653793335,0.9988915920257568,-6.765704982395195,-6.804830550628212
,0.2,0.0,65,0.001,0.9987956881523132,0.9988839387893677,-6.721846955926114,-6.7979495682902575
,0.2,0.0,60,0.001,0.9988186955451965,0.9988839268684387,-6.74113598091434,-6.797938887097208
,0.2,0.0,65,0.004,0.998847484588623,0.9988839268684387,-6.765808411055368,-6.797938887097208
[ 0.50283981 88.53395586],0.1,0.0,70,0.002,0.9989145994186401,0.9988801002502441,-6.8258061607170335,-6.794516106827831
,0.2,0.0,60,0.004,0.9987784624099731,0.9988800764083863,-6.707644894079024,-6.794494817775805
,0.1,0.0,60,0.004,0.9989040493965149,0.9988762736320496,-6.816133161284846,-6.791105002032104
[ 0.50283981 88.53395586],0.1,0.0,70,0.001,0.9988523721694946,0.9988762617111206,-6.770058223100776,-6.791094393697175
[ 0.50283981 88.53395586],0.1,0.0,45,0.001,0.9988186955451965,0.9988762497901916,-6.74113598091434,-6.791083785474682
[ 0.50283981 88.53395586],0.2,0.0,75,0.001,0.9988484382629395,0.9988724231719971,-6.766636225672179,-6.787684348773258
[ 0.50283981 88.53395586],0.1,0.0,45,0.003,0.9988781213760376,0.9988724112510681,-6.792750656019955,-6.787673776663481
,0.2,0.0,75,0.001,0.9988446235656738,0.9988724112510681,-6.7633290709423255,-6.787673776663481
,0.2,0.0,50,0.004,0.9987784624099731,0.9988724112510681,-6.707644894079024,-6.787673776663481
[ 0.50283981 88.53395586],0.1,0.0,60,0.001,0.9989030957221985,0.9988685846328735,-6.815263359653493,-6.78428589274825
,0.1,0.0,45,0.003,0.9988532066345215,0.998864758014679,-6.77078560921899,-6.780909447847294
[ 0.50283981 88.53395586],0.1,0.0,65,0.001,0.9988704919815063,0.99886474609375,-6.785973122928115,-6.780898947120059
[ 0.50283981 88.53395586],0.2,0.0,65,0.001,0.998881995677948,0.99886474609375,-6.796210038378346,-6.780898947120059
[ 0.50283981 88.53395586],0.2,0.0,70,0.004,0.9988225102424622,0.99886474609375,-6.744370430593197,-6.780898947120059
,0.2,0.0,45,0.003,0.9987775087356567,0.9988609313964844,-6.706864482372261,-6.777544364973906
[ 0.50283981 88.53395586],0.2,0.0,50,0.004,0.9987459182739258,0.9988609075546264,-6.681351666587041,-6.777523434181551
[ 0.50283981 88.53395586],0.2,0.0,60,0.001,0.9988311529159546,0.9988609075546264,-6.7517374142482955,-6.777523434181551
,0.2,0.0,45,0.002,0.998788058757782,0.9988609075546264,-6.715531872528346,-6.777523434181551
,0.2,0.0,65,0.003,0.9988015294075012,0.9988608956336975,-6.726709041313041,-6.777512968949706
[ 0.50283981 88.53395586],0.2,0.0,45,0.003,0.9987879991531372,0.998857069015503,-6.715482692603581,-6.774159277009946
,0.1,0.0,65,0.003,0.9988934397697449,0.9988532423973083,-6.806498966827507,-6.770816794736419
,0.2,0.0,70,0.001,0.9988436698913574,0.9988494157791138,-6.762503988387268,-6.767485447442597
[ 0.50283981 88.53395586],0.2,0.0,70,0.001,0.9987996220588684,0.9988494157791138,-6.725118820831826,-6.767485447442597
[ 0.50283981 88.53395586],0.1,0.0,50,0.004,0.9989107251167297,0.9988494038581848,-6.822243048820708,-6.767475086734489
[ 0.50283981 88.53395586],0.2,0.0,50,0.002,0.9987995028495789,0.9988455772399902,-6.725019515965807,-6.764154834820793
,0.2,0.0,70,0.004,0.9988589286804199,0.9988455653190613,-6.775787703850479,-6.764144508562706
[ 0.50283981 88.53395586],0.1,0.0,75,0.001,0.9988771677017212,0.9988455653190613,-6.791900948055925,-6.764144508562706
,0.2,0.0,45,0.004,0.9987775087356567,0.9988455653190613,-6.706864482372261,-6.764144508562706
,0.1,0.0,65,0.001,0.9988589286804199,0.9988417267799378,-6.775787703850479,-6.760824986329304
,0.1,0.0,75,0.001,0.9989030957221985,0.9988379001617431,-6.815263359653493,-6.757526704917213
[ 0.50283981 88.53395586],0.1,0.0,50,0.001,0.9988292455673218,0.9988379001617431,-6.750106923720968,-6.757526704917213
[ 0.50283981 88.53395586],0.1,0.0,45,0.002,0.9989021420478821,0.9988379001617431,-6.814394313919585,-6.757526704917213
,0.2,0.0,70,0.003,0.9988454580307007,0.9988340616226197,-6.7640515770376455,-6.754229042038481
[ 0.50283981 88.53395586],0.1,0.0,50,0.002,0.9988886713981628,0.9988263964653015,-6.802199040825767,-6.7476763192973905
[ 0.50283981 88.53395586],0.2,0.0,60,0.004,0.9987736940383911,0.9988263845443726,-6.703748911747712,-6.747666161805516
,0.1,0.0,45,0.001,0.9988158345222473,0.998822557926178,-6.738716990670624,-6.744410927490165
[ 0.50283981 88.53395586],0.2,0.0,55,0.002,0.9988552331924438,0.998822557926178,-6.77255432424077,-6.744410927490165
,0.1,0.0,70,0.001,0.9988723993301392,0.998822557926178,-6.787663204665572,-6.744410927490165
,0.1,0.0,55,0.002,0.9989002346992493,0.9988187193870545,-6.812658484896805,-6.74115616377104
,0.1,0.0,55,0.004,0.9989002346992493,0.9988148808479309,-6.812658484896805,-6.7379119591806065
,0.2,0.0,45,0.001,0.9987775087356567,0.9988110661506653,-6.706864482372261,-6.734698298368123
[ 0.50283981 88.53395586],0.2,0.0,45,0.004,0.9987573623657227,0.9988072395324707,-6.690519034074061,-6.731484937644082
[ 0.50283981 88.53395586],0.1,0.0,55,0.001,0.9988541603088379,0.9988033890724182,-6.771617556022383,-6.728261944857302
,0.1,0.0,50,0.001,0.9988406896591187,0.9988033890724182,-6.7599299843920955,-6.728261944857302
[ 0.50283981 88.53395586],0.1,0.0,60,0.004,0.9988992810249329,0.9988033890724182,-6.811791698992815,-6.728261944857302
,0.2,0.0,55,0.004,0.9988110661506653,0.9988033771514893,-6.734698298368123,-6.728251982663863
,0.2,0.0,75,0.004,0.9988551139831543,0.9987918853759765,-6.772450195537599,-6.718694296534385
[ 0.50283981 88.53395586],0.2,0.0,50,0.001,0.9987457990646362,0.9987880468368531,-6.681256614070454,-6.715522036349935
[ 0.50283981 88.53395586],0.2,0.0,65,0.004,0.9987794160842896,0.9987842082977295,-6.708425915303925,-6.7123598075861794
,0.1,0.0,55,0.001,0.9988311529159546,0.998780369758606,-6.7517374142482955,-6.709207546999802
,0.2,0.0,50,0.002,0.9987937808036804,0.9987765431404114,-6.720264442367028,-6.706074935540887
[ 0.50283981 88.53395586],0.2,0.0,45,0.001,0.9987314343452454,0.9987688541412354,-6.669868422475884,-6.699809950769238
,0.2,0.0,50,0.001,0.9987295866012573,0.9987650275230407,-6.668412920657786,-6.6967065950134845
[ 0.50283981 88.53395586],0.2,0.0,55,0.001,0.9988187551498413,0.9987611889839172,-6.741186438819843,-6.693603217361329
[ 0.50283981 88.53395586],0.1,0.0,55,0.003,0.9989117383956909,0.9987535238265991,-6.823173714313661,-6.687434769984073
,0.2,0.0,55,0.001,0.9987822771072388,0.9987305164337158,-6.71077264562702,-6.669145101933497
[ 0.50283981 88.53395586],0.2,0.0,45,0.002,0.9987668991088867,0.99870365858078,-6.698223232427049,-6.648209274990327
