class_weight,max_depth,n_estimators,accuracy_tr,accuracy_val,log_accuracy_tr,log_accuracy_val
,22.0,100,0.999994007239255,0.9997123543794045,-12.024958359698424,-8.15378131953893
,22.0,75,0.999994007239255,0.9997123543794045,-12.024958359698424,-8.15378131953893
,21.0,50,0.999994007239255,0.9997123543794045,-12.024958359698424,-8.15378131953893
,22.0,50,0.999994007239255,0.9996883839110217,-12.024958359698424,-8.073738611865663
,22.0,40,0.999994007239255,0.9996883839110217,-12.024958359698424,-8.073738611865663
,,50,0.999994007239255,0.9996883839110217,-12.024958359698424,-8.073738611865663
,18.0,100,0.9999640434355299,0.9996883839110217,-10.233198890464193,-8.073738611865663
,18.0,50,0.9999640434355299,0.9996883839110217,-10.233198890464193,-8.073738611865663
,21.0,75,0.999994007239255,0.9996644134426387,-12.024958359698424,-7.999630639711839
,21.0,100,0.999994007239255,0.9996644134426387,-12.024958359698424,-7.999630639711839
,17.0,8,0.9999220941103147,0.9996644134426387,-9.46000900222976,-7.999630639711839
,,75,0.999994007239255,0.9996644134426387,-12.024958359698424,-7.999630639711839
,23.0,50,0.999994007239255,0.9996644134426387,-12.024958359698424,-7.999630639711839
,20.0,50,0.9999760289570199,0.9996644134426387,-10.63866399856927,-7.999630639711839
,24.0,75,0.999994007239255,0.9996644134426387,-12.024958359698424,-7.999630639711839
,24.0,50,0.999994007239255,0.9996644134426387,-12.024958359698424,-7.999630639711839
,19.0,50,0.9999700361962749,0.9996644134426387,-10.415520447256913,-7.999630639711839
,21.0,40,0.999994007239255,0.9996644134426387,-12.024958359698424,-7.999630639711839
,20.0,40,0.9999880144785099,0.9996644134426387,-11.331811179129215,-7.999630639711839
,22.0,10,0.9999700361962749,0.9996404429742557,-10.415520447256913,-7.930637768224799
,15.0,75,0.9999041158280797,0.9996404429742557,-9.252369637451695,-7.930637768224799
,20.0,25,0.9999700361962749,0.9996404429742557,-10.415520447256913,-7.930637768224799
,19.0,75,0.9999700361962749,0.9996404429742557,-10.415520447256913,-7.930637768224799
,23.0,75,0.999994007239255,0.9996404429742557,-12.024958359698424,-7.930637768224799
,23.0,100,0.999994007239255,0.9996404429742557,-12.024958359698424,-7.930637768224799
,24.0,100,0.999994007239255,0.9996404429742557,-12.024958359698424,-7.930637768224799
,16.0,75,0.9999520579140398,0.9996404429742557,-9.94551681801164,-7.930637768224799
,,25,0.9999880144785099,0.9996404429742557,-11.331811179129215,-7.930637768224799
,19.0,40,0.9999760289570199,0.9996404429742557,-10.63866399856927,-7.930637768224799
,,100,0.999994007239255,0.9996404429742557,-12.024958359698424,-7.930637768224799
,19.0,25,0.9999700361962749,0.9996404429742557,-10.415520447256913,-7.930637768224799
,19.0,10,0.9999580506747848,0.9996404429742557,-10.07904821063517,-7.930637768224799
,18.0,40,0.9999640434355299,0.9996404429742557,-10.233198890464193,-7.930637768224799
,21.0,25,0.9999880144785099,0.9996404429742557,-11.331811179129215,-7.930637768224799
,20.0,10,0.9999760289570199,0.9996164725058727,-10.63866399856927,-7.866099247087151
,21.0,10,0.9999640434355299,0.9996164725058727,-10.233198890464193,-7.866099247087151
,20.0,100,0.9999880144785099,0.9996164725058727,-11.331811179129215,-7.866099247087151
,18.0,75,0.9999580506747848,0.9996164725058727,-10.07904821063517,-7.866099247087151
balanced,,100,0.999994007239255,0.9996164725058727,-12.024958359698424,-7.866099247087151
,22.0,8,0.9999520579140398,0.9996164725058727,-9.94551681801164,-7.866099247087151
,22.0,25,0.9999880144785099,0.9996164725058727,-11.331811179129215,-7.866099247087151
balanced,23.0,50,0.999994007239255,0.9996164725058727,-12.024958359698424,-7.866099247087151
balanced,23.0,75,0.999994007239255,0.9996164725058727,-12.024958359698424,-7.866099247087151
balanced,23.0,100,0.999994007239255,0.9996164725058727,-12.024958359698424,-7.866099247087151
balanced,24.0,75,0.999994007239255,0.9996164725058727,-12.024958359698424,-7.866099247087151
balanced,24.0,100,0.999994007239255,0.9996164725058727,-12.024958359698424,-7.866099247087151
balanced,,40,0.999994007239255,0.9996164725058727,-12.024958359698424,-7.866099247087151
balanced,,75,0.999994007239255,0.9996164725058727,-12.024958359698424,-7.866099247087151
,,40,0.999994007239255,0.9996164725058727,-12.024958359698424,-7.866099247087151
,,10,0.9999700361962749,0.9996164725058727,-10.415520447256913,-7.866099247087151
,24.0,40,0.999994007239255,0.9996164725058727,-12.024958359698424,-7.866099247087151
,24.0,10,0.9999700361962749,0.9996164725058727,-10.415520447256913,-7.866099247087151
,23.0,40,0.999994007239255,0.9996164725058727,-12.024958359698424,-7.866099247087151
,23.0,25,0.9999880144785099,0.9996164725058727,-11.331811179129215,-7.866099247087151
,23.0,10,0.9999700361962749,0.9996164725058727,-10.415520447256913,-7.866099247087151
,18.0,10,0.9999580506747848,0.9996164725058727,-10.07904821063517,-7.866099247087151
,18.0,25,0.9999640434355299,0.9996164725058727,-10.233198890464193,-7.866099247087151
,24.0,25,0.9999880144785099,0.9996164725058727,-11.331811179129215,-7.866099247087151
,15.0,50,0.9998981230673346,0.9996164725058727,-9.191745015634579,-7.866099247087151
,17.0,100,0.9999580506747848,0.9996164725058727,-10.07904821063517,-7.866099247087151
,17.0,25,0.9999520579140398,0.9996164725058727,-9.94551681801164,-7.866099247087151
,14.0,75,0.9998921303065896,0.9996164725058727,-9.134586601795053,-7.866099247087151
balanced,23.0,40,0.999994007239255,0.9995925020374898,-12.024958359698424,-7.805474625270921
balanced,18.0,75,0.999982021717765,0.9995925020374898,-10.926346071024138,-7.805474625270921
balanced,20.0,25,0.999982021717765,0.9995925020374898,-10.926346071024138,-7.805474625270921
balanced,19.0,100,0.9999880144785099,0.9995925020374898,-11.331811179129215,-7.805474625270921
,14.0,50,0.9998861375458447,0.9995925020374898,-9.080519380525157,-7.805474625270921
,14.0,25,0.9998981230673346,0.9995925020374898,-9.191745015634579,-7.805474625270921
balanced,18.0,100,0.999982021717765,0.9995925020374898,-10.926346071024138,-7.805474625270921
balanced,18.0,50,0.9999700361962749,0.9995925020374898,-10.415520447256913,-7.805474625270921
,15.0,40,0.9998981230673346,0.9995925020374898,-9.191745015634579,-7.805474625270921
balanced,17.0,100,0.9999520579140398,0.9995925020374898,-9.94551681801164,-7.805474625270921
,13.0,25,0.9998082316561594,0.9995925020374898,-8.55922245689175,-7.805474625270921
balanced,22.0,75,0.999994007239255,0.9995925020374898,-12.024958359698424,-7.805474625270921
balanced,22.0,100,0.999994007239255,0.9995925020374898,-12.024958359698424,-7.805474625270921
balanced,22.0,50,0.999994007239255,0.9995925020374898,-12.024958359698424,-7.805474625270921
balanced,24.0,50,0.999994007239255,0.9995925020374898,-12.024958359698424,-7.805474625270921
,15.0,25,0.9999041158280797,0.9995925020374898,-9.252369637451695,-7.805474625270921
,15.0,10,0.9998921303065896,0.9995925020374898,-9.134586601795053,-7.805474625270921
balanced,20.0,40,0.9999880144785099,0.9995925020374898,-11.331811179129215,-7.805474625270921
balanced,20.0,100,0.999994007239255,0.9995925020374898,-12.024958359698424,-7.805474625270921
,17.0,50,0.9999520579140398,0.9995925020374898,-9.94551681801164,-7.805474625270921
,17.0,40,0.9999520579140398,0.9995925020374898,-9.94551681801164,-7.805474625270921
,19.0,8,0.9999161013495698,0.9995925020374898,-9.385901030076548,-7.805474625270921
,17.0,10,0.9999400723925498,0.9995925020374898,-9.722373266696968,-7.805474625270921
balanced,21.0,100,0.999994007239255,0.9995925020374898,-12.024958359698424,-7.805474625270921
,19.0,100,0.999982021717765,0.9995925020374898,-10.926346071024138,-7.805474625270921
,16.0,50,0.9999340796318048,0.9995925020374898,-9.627063086893315,-7.805474625270921
,16.0,25,0.9999340796318048,0.9995925020374898,-9.627063086893315,-7.805474625270921
balanced,20.0,75,0.999994007239255,0.9995925020374898,-12.024958359698424,-7.805474625270921
,15.0,100,0.9999101085888247,0.9995925020374898,-9.316908158588802,-7.805474625270921
,20.0,75,0.9999880144785099,0.9995925020374898,-11.331811179129215,-7.805474625270921
balanced,,50,0.999994007239255,0.9995925020374898,-12.024958359698424,-7.805474625270921
balanced,19.0,50,0.999994007239255,0.9995685315691069,-12.024958359698424,-7.748316211430896
balanced,21.0,75,0.999994007239255,0.9995685315691069,-12.024958359698424,-7.748316211430896
,,8,0.9999400723925498,0.9995685315691069,-9.722373266696968,-7.748316211430896
balanced,17.0,75,0.9999161013495698,0.9995685315691069,-9.385901030076548,-7.748316211430896
balanced,17.0,40,0.9999400723925498,0.9995685315691069,-9.722373266696968,-7.748316211430896
balanced,19.0,75,0.9999880144785099,0.9995685315691069,-11.331811179129215,-7.748316211430896
balanced,20.0,50,0.9999880144785099,0.9995685315691069,-11.331811179129215,-7.748316211430896
balanced,23.0,25,0.9999880144785099,0.9995685315691069,-11.331811179129215,-7.748316211430896
balanced,24.0,25,0.999994007239255,0.9995685315691069,-12.024958359698424,-7.748316211430896
balanced,22.0,25,0.9999880144785099,0.9995685315691069,-11.331811179129215,-7.748316211430896
,18.0,8,0.9999340796318048,0.9995685315691069,-9.627063086893315,-7.748316211430896
,13.0,40,0.9998202171776494,0.9995685315691069,-8.623760978028857,-7.748316211430896
,23.0,8,0.9999400723925498,0.9995685315691069,-9.722373266696968,-7.748316211430896
,24.0,8,0.9999400723925498,0.9995685315691069,-9.722373266696968,-7.748316211430896
,16.0,8,0.9998981230673346,0.9995685315691069,-9.191745015634579,-7.748316211430896
,16.0,10,0.9999280868710597,0.9995685315691069,-9.540051709902704,-7.748316211430896
,16.0,40,0.9999280868710597,0.9995685315691069,-9.540051709902704,-7.748316211430896
,16.0,100,0.9999460651532949,0.9995685315691069,-9.82773378235603,-7.748316211430896
,17.0,75,0.9999580506747848,0.9995685315691069,-10.07904821063517,-7.748316211430896
,14.0,40,0.9998921303065896,0.9995685315691069,-9.134586601795053,-7.748316211430896
balanced,17.0,50,0.9999161013495698,0.9995445611007239,-9.385901030076548,-7.694248990160553
balanced,16.0,100,0.9999161013495698,0.9995445611007239,-9.385901030076548,-7.694248990160553
balanced,16.0,75,0.9999101085888247,0.9995445611007239,-9.316908158588802,-7.694248990160553
balanced,19.0,40,0.9999880144785099,0.9995445611007239,-11.331811179129215,-7.694248990160553
balanced,16.0,50,0.9999101085888247,0.9995445611007239,-9.316908158588802,-7.694248990160553
balanced,18.0,40,0.9999580506747848,0.9995445611007239,-10.07904821063517,-7.694248990160553
,13.0,100,0.9998262099383944,0.9995445611007239,-8.657662529704922,-7.694248990160553
balanced,16.0,25,0.9999280868710597,0.9995445611007239,-9.540051709902704,-7.694248990160553
balanced,15.0,100,0.9998142244169044,0.9995445611007239,-8.590971155206105,-7.694248990160553
,14.0,100,0.9999041158280797,0.9995445611007239,-9.252369637451695,-7.694248990160553
balanced,24.0,40,0.999994007239255,0.9995445611007239,-12.024958359698424,-7.694248990160553
balanced,20.0,8,0.9999400723925498,0.9995445611007239,-9.722373266696968,-7.694248990160553
balanced,20.0,10,0.9999580506747848,0.9995445611007239,-10.07904821063517,-7.694248990160553
,15.0,8,0.9998741520243546,0.9995445611007239,-8.980435921967944,-7.694248990160553
balanced,,25,0.9999880144785099,0.9995445611007239,-11.331811179129215,-7.694248990160553
balanced,21.0,40,0.999994007239255,0.9995445611007239,-12.024958359698424,-7.694248990160553
balanced,21.0,50,0.9999880144785099,0.9995445611007239,-11.331811179129215,-7.694248990160553
balanced,17.0,25,0.9999101085888247,0.999520590632341,-9.316908158588802,-7.642955695773173
,13.0,75,0.9998202171776494,0.999520590632341,-8.623760978028857,-7.642955695773173
,21.0,8,0.9999520579140398,0.999520590632341,-9.94551681801164,-7.642955695773173
,20.0,8,0.9999520579140398,0.999520590632341,-9.94551681801164,-7.642955695773173
,12.0,25,0.9998082316561594,0.999520590632341,-8.55922245689175,-7.642955695773173
balanced,19.0,25,0.9999700361962749,0.999520590632341,-10.415520447256913,-7.642955695773173
,12.0,10,0.9997782678524343,0.999496620163958,-8.414040447047189,-7.594165531603674
,13.0,50,0.9998142244169044,0.999496620163958,-8.590971155206105,-7.594165531603674
balanced,18.0,8,0.9998861375458447,0.999496620163958,-9.080519380525157,-7.594165531603674
balanced,18.0,25,0.9999400723925498,0.999496620163958,-9.722373266696968,-7.594165531603674
,14.0,8,0.9998501809813745,0.999496620163958,-8.806082534822812,-7.594165531603674
balanced,15.0,40,0.9997902533739244,0.999496620163958,-8.469610298202129,-7.594165531603674
balanced,21.0,25,0.999982021717765,0.999496620163958,-10.926346071024138,-7.594165531603674
balanced,15.0,50,0.9997782678524343,0.999496620163958,-8.414040447047189,-7.594165531603674
balanced,15.0,75,0.9998082316561594,0.999496620163958,-8.55922245689175,-7.594165531603674
balanced,22.0,40,0.999994007239255,0.999496620163958,-12.024958359698424,-7.594165531603674
balanced,,10,0.9999640434355299,0.999496620163958,-10.233198890464193,-7.594165531603674
,13.0,8,0.9998262099383944,0.999496620163958,-8.657662529704922,-7.594165531603674
balanced,24.0,10,0.9999640434355299,0.999496620163958,-10.233198890464193,-7.594165531603674
balanced,,8,0.9999400723925498,0.999496620163958,-9.722373266696968,-7.594165531603674
,12.0,100,0.9998082316561594,0.999496620163958,-8.55922245689175,-7.594165531603674
balanced,19.0,10,0.9999580506747848,0.999472649695575,-10.07904821063517,-7.547645515968721
,12.0,8,0.9997483040487092,0.999472649695575,-8.287288741407998,-7.547645515968721
,12.0,50,0.9998082316561594,0.999472649695575,-8.55922245689175,-7.547645515968721
balanced,16.0,40,0.9999220941103147,0.999472649695575,-9.46000900222976,-7.547645515968721
,12.0,75,0.9998082316561594,0.999472649695575,-8.55922245689175,-7.547645515968721
balanced,19.0,8,0.9999400723925498,0.999472649695575,-9.722373266696968,-7.547645515968721
,12.0,40,0.9998022388954143,0.999448679227192,-8.528450798224645,-7.503193753397833
,13.0,10,0.9998202171776494,0.999448679227192,-8.623760978028857,-7.503193753397833
balanced,24.0,8,0.9999400723925498,0.999448679227192,-9.722373266696968,-7.503193753397833
balanced,22.0,8,0.9999460651532949,0.999448679227192,-9.82773378235603,-7.503193753397833
balanced,21.0,8,0.9999580506747848,0.999448679227192,-10.07904821063517,-7.503193753397833
balanced,18.0,10,0.9999400723925498,0.999448679227192,-9.722373266696968,-7.503193753397833
,14.0,10,0.9998202171776494,0.999448679227192,-8.623760978028857,-7.503193753397833
balanced,16.0,8,0.9998441882206295,0.9994247087588092,-8.766861821669815,-7.460634138979179
balanced,15.0,25,0.9997423112879641,0.9994247087588092,-8.263758243997536,-7.460634138979179
,10.0,50,0.999706354723494,0.9994007382904262,-8.133138061580613,-7.41981214445887
balanced,14.0,100,0.9996943692020039,0.9994007382904262,-8.093132726966832,-7.41981214445887
balanced,14.0,75,0.9996703981590239,0.9994007382904262,-8.017625174458878,-7.41981214445887
balanced,23.0,10,0.9999580506747848,0.9994007382904262,-10.07904821063517,-7.41981214445887
balanced,16.0,10,0.9998501809813745,0.9994007382904262,-8.806082534822812,-7.41981214445887
balanced,17.0,10,0.9999161013495698,0.9994007382904262,-9.385901030076548,-7.41981214445887
balanced,23.0,8,0.9999460651532949,0.9994007382904262,-9.82773378235603,-7.41981214445887
balanced,22.0,10,0.9999640434355299,0.9993767678220432,-10.233198890464193,-7.380591431305539
,11.0,50,0.9997542968094542,0.9993767678220432,-8.311386292986885,-7.380591431305539
balanced,14.0,50,0.999700361962749,0.9993767678220432,-8.112935354263238,-7.380591431305539
,11.0,10,0.9997363185272191,0.9993767678220432,-8.240768725773004,-7.380591431305539
,10.0,100,0.9997123474842391,0.9993767678220432,-8.153757348783586,-7.380591431305539
,10.0,75,0.999700361962749,0.9993767678220432,-8.112935354263238,-7.380591431305539
balanced,14.0,25,0.9996224560730638,0.9993767678220432,-7.881823633299833,-7.380591431305539
,10.0,40,0.999706354723494,0.9993767678220432,-8.133138061580613,-7.380591431305539
balanced,17.0,8,0.9998681592636096,0.9993767678220432,-8.93391590633337,-7.380591431305539
balanced,14.0,40,0.9996644053982788,0.9993527973536603,-7.999606668955996,-7.342851103322817
,10.0,25,0.9996584126375339,0.9993527973536603,-7.981907091856723,-7.342851103322817
,11.0,75,0.9997662823309442,0.9993527973536603,-8.361396713561652,-7.342851103322817
balanced,21.0,10,0.9999580506747848,0.9993527973536603,-10.07904821063517,-7.342851103322817
,11.0,8,0.9997483040487092,0.9993527973536603,-8.287288741407998,-7.342851103322817
balanced,13.0,50,0.9995745139871036,0.9993527973536603,-7.762278482650063,-7.342851103322817
balanced,13.0,40,0.9995205791403984,0.9993288268852774,-7.6429317250173625,-7.3064834591518935
balanced,13.0,100,0.9995445501833785,0.9993288268852774,-7.694225019405023,-7.3064834591518935
,11.0,25,0.9997722750916892,0.9993288268852774,-8.387372199964725,-7.3064834591518935
balanced,13.0,75,0.9995145863796534,0.9993288268852774,-7.630509205018894,-7.3064834591518935
balanced,15.0,8,0.9997303257664741,0.9993288268852774,-8.218295869921105,-7.3064834591518935
,10.0,10,0.9995685212263585,0.9993048564168944,-7.7482922406751635,-7.271392139340578
,11.0,40,0.9997483040487092,0.9993048564168944,-8.287288741407998,-7.271392139340578
,11.0,100,0.9997602895701992,0.9993048564168944,-8.33607890557754,-7.271392139340578
balanced,15.0,10,0.9997542968094542,0.9993048564168944,-8.311386292986885,-7.271392139340578
balanced,13.0,25,0.999394731164753,0.9992808859485114,-7.409837842850011,-7.237490587664854
balanced,14.0,10,0.9996284488338087,0.9992569154801285,-7.89782397464616,-7.204700764841973
