C,class_weight,degree,gamma,kernel,accuracy_tr,accuracy_val,log_accuracy_tr,log_accuracy_val
0.01,,4,1,poly,0.9995205814388309,0.9992521142155829,-7.642936519214401,-7.198260286278367
0.1,,4,1,poly,0.9997411139769687,0.999232937657008,-8.259122658638363,-7.172942478293992
0.1,,5,1,poly,0.9999089104733779,0.9992137610984333,-9.303667726036648,-7.14824986570368
0.01,,3,3,poly,0.9993479907568101,0.9992137610984333,-7.3354518194665355,-7.14824986570368
1.0,,3,1,poly,0.9995589349237245,0.9991945845398584,-7.726318128153532,-7.124152314124539
0.1,balanced,5,1,poly,0.999860968617261,0.9991945845398584,-8.88081087521649,-7.124152314124539
0.01,,5,1,poly,0.9998274093179792,0.9991945845398584,-8.664587766746742,-7.124152314124539
0.1,,3,2,poly,0.9995541407381128,0.9991562314227089,-7.715507212049244,-7.077632298489759
0.01,,5,2,poly,0.9999328814014363,0.9991562314227089,-9.609049375587134,-7.077632298489759
0.1,,3,3,poly,0.9995877000373946,0.9991562314227089,-7.7937594089490005,-7.077632298489759
10.0,,4,1,poly,0.9999184988446013,0.9991370548641341,-9.41489336114637,-7.055159442637624
0.01,,4,2,poly,0.9997602907194155,0.9991370548641341,-8.336083699774578,-7.055159442637624
0.01,balanced,5,2,poly,0.9998945279165428,0.9991370548641341,-9.157064251843776,-7.055159442637624
0.01,,3,2,poly,0.9992616954157997,0.9991370548641341,-7.211154102788914,-7.055159442637624
0.1,,3,1,poly,0.9993000489006932,0.9991178783055593,-7.26450008349426,-7.033180535918902
1.0,,3,2,poly,0.9996835837496284,0.9991178783055593,-8.058451963176017,-7.033180535918902
10.0,balanced,4,1,poly,0.9998657628028726,0.9990795251884097,-8.915902195027188,-6.990620921500085
10.0,,3,1,poly,0.9996979663064636,0.9990795251884097,-8.104971978811228,-6.990620921500085
0.1,,4,3,poly,0.9999137046589895,0.9990603486298348,-9.357734947306044,-6.97000163429728
0.1,balanced,4,3,poly,0.9998657628028726,0.9990411720712601,-8.915902195027188,-6.949798926979811
0.01,balanced,5,1,poly,0.99965961282157,0.9990219955126853,-7.9854268281613106,-6.929996299683679
0.1,balanced,4,2,poly,0.9997842616474739,0.9990219955126853,-8.441444215432147,-6.929996299683679
0.01,balanced,4,3,poly,0.9997507023481921,0.9990028189541105,-8.29686298662103,-6.910578213826511
1.0,balanced,5,1,poly,0.9999280872158246,0.9990028189541105,-9.540056504099741,-6.910578213826511
10.0,,2,3,poly,0.999055545434497,0.9990028189541105,-6.9649029764646055,-6.910578213826511
1.0,balanced,4,1,poly,0.9997650849050271,0.9989836423955357,-8.356286407091766,-6.891530018855863
1.0,,4,2,poly,0.9999328814014363,0.9989836423955357,-9.609049375587134,-6.891530018855863
1.0,balanced,4,3,poly,0.9999089104733779,0.9989644658369609,-9.303667726036648,-6.872837885843648
1.0,balanced,4,2,poly,0.9998897337309312,0.9989452892783861,-9.112612489273674,-6.8544887471754965
