C,class_weight,degree,gamma,kernel,accuracy_tr,accuracy_val,log_accuracy_tr,log_accuracy_val
0.01,,5,0.5,poly,0.9996116709654531,0.9992904673327324,-7.853657550530199,-7.25090401976366
0.01,,4,1.0,poly,0.9996116709654531,0.9992712907741577,-7.853657550530199,-7.224235772681565
0.1,,4,0.5,poly,0.9995541407381128,0.9992712907741577,-7.715507212049244,-7.224235772681565
0.05,,5,0.5,poly,0.9997650849050271,0.9992712907741577,-8.356286407091766,-7.224235772681565
0.1,,5,0.5,poly,0.9998178209467558,0.9992521142155829,-8.610520545476094,-7.198260286278367
0.1,,4,1.0,poly,0.9997938500186974,0.9992521142155829,-8.486906589509216,-7.198260286278367
0.05,,4,0.5,poly,0.9994151093553738,0.9992521142155829,-7.444085660469353,-7.198260286278367
0.01,,5,1.0,poly,0.999860968617261,0.9991754079812837,-8.88081087521649,-7.100621816714402
0.05,,4,1.0,poly,0.9997267314201337,0.9991562314227089,-8.205055437368133,-7.077632298489759
0.01,,4,0.5,poly,0.9992712837870231,0.9991370548641341,-7.224226184356356,-7.055159442637624
0.05,,5,1.0,poly,0.9999184988446013,0.9991370548641341,-9.41489336114637,-7.055159442637624
0.1,,5,1.0,poly,0.9999328814014363,0.9991178783055593,-9.609049375587134,-7.033180535918902
0.01,balanced,5,1.0,poly,0.9997459081625805,0.9990987017469845,-8.277814791650645,-7.011674330697867
0.05,balanced,5,1.0,poly,0.9998705569884844,0.9989836423955357,-8.952269839198308,-6.891530018855863
0.1,balanced,5,1.0,poly,0.9999184988446013,0.9989836423955357,-9.41489336114637,-6.891530018855863
0.1,balanced,5,0.5,poly,0.999582905851783,0.9989452892783861,-7.782198586548113,-6.8544887471754965
0.05,balanced,5,0.5,poly,0.9994246977265971,0.9988494064855121,-7.460614962420484,-6.767477370185875
0.1,balanced,4,1.0,poly,0.9995014046963843,0.9988302299269373,-7.603715806061307,-6.750948068234609
0.05,balanced,4,1.0,poly,0.9993144314575283,0.9987535236926381,-7.285262074942671,-6.687434662512346
0.1,,5,0.1,poly,0.998839807081971,0.9986384643411893,-6.759168979045884,-6.5991420553666265
0.01,balanced,5,0.5,poly,0.998964455907875,0.9985617581068902,-6.872828297518473,-6.544333818871685
0.01,balanced,4,1.0,poly,0.9988973373093113,0.998485051872591,-6.810027396279428,-6.492374079940949
0.1,,4,0.1,poly,0.9986144803582215,0.9984083456382917,-6.5816800170901555,-6.442981324611349
0.05,,5,0.1,poly,0.9986048919869982,0.9983699925211421,-6.574783438031128,-6.41917067591762
0.1,balanced,4,0.5,poly,0.9987535117409606,0.9983316394039926,-6.687425074187107,-6.395913813753409
0.05,,4,0.1,poly,0.9983316234071319,0.9980439910253706,-6.395904225428156,-6.236849119123677
0.05,balanced,4,0.5,poly,0.9985042140891527,0.9978522254396226,-6.505103517393122,-6.143323061112865
0.01,,5,0.1,poly,0.9979049408876914,0.997622106736725,-6.168173510107022,-6.0415403668029235
0.01,,4,0.1,poly,0.9974351106977458,0.9970659865380559,-5.965839958306609,-5.8313840110155315
0.01,balanced,4,0.5,poly,0.9972337549020548,0.9966441022494104,-5.8902644386945,-5.697035958484459
0.1,balanced,5,0.1,poly,0.9930724017911078,0.9932114982645215,-4.972242104656071,-4.9925250192741935
0.05,balanced,5,0.1,poly,0.991816325160845,0.9920417281914587,-4.805613982408159,-4.833543412177263
0.1,balanced,4,0.1,poly,0.9913608775277344,0.991543137668514,-4.751454267034317,-4.772777056961114
0.05,balanced,4,0.1,poly,0.9905698369018054,0.990776075325522,-4.663841886813534,-4.685954662302196
0.01,balanced,5,0.1,poly,0.990080829969413,0.9904308972711757,-4.6132860274570495,-4.6492158366564444
0.01,balanced,4,0.1,poly,0.9889446079794425,0.9894720693424358,-4.504837004373591,-4.553723490898432
