class_weight,criterion,max_depth,accuracy_val,std_accuracy_val,log_accuracy_val
,gini,4.0,0.9921920881360732,0.0004268562477905715,4.8526177178542635
,gini,6.0,0.9948191977044074,0.0013441683440377045,5.262795351384895
,gini,8.0,0.9978939205226677,0.0002682051118986037,6.1629271274580635
,gini,10.0,0.9982901858982979,0.00019770938113580568,6.371370626832094
,gini,12.0,0.9985323486855826,0.0002706090822094681,6.524091901241994
,gini,14.0,0.9985323500318257,0.0002715966309866983,6.524092818519635
,gini,16.0,0.9986204083460247,0.0002159351507504632,6.585967726517397
,gini,18.0,0.9986057310628293,0.00017208361300934027,6.5753850604517945
,gini,20.0,0.9985396870579315,0.00018475693228214125,6.529104522347727
,gini,22.0,0.9985690394703329,0.00013329363062262791,6.549409361131292
,gini,24.0,0.998591053779634,0.0001000722464802889,6.5649132154483825
,gini,26.0,0.998591053779634,0.0001000722464802889,6.5649132154483825
,gini,28.0,0.998591053779634,0.0001000722464802889,6.5649132154483825
,gini,30.0,0.998591053779634,0.0001000722464802889,6.5649132154483825
,gini,35.0,0.998591053779634,0.0001000722464802889,6.5649132154483825
,gini,40.0,0.998591053779634,0.0001000722464802889,6.5649132154483825
,gini,45.0,0.998591053779634,0.0001000722464802889,6.5649132154483825
,gini,50.0,0.998591053779634,0.0001000722464802889,6.5649132154483825
,gini,,0.998591053779634,0.0001000722464802889,6.5649132154483825
,entropy,4.0,0.9971527578393532,0.0003302629187315789,5.861404416120549
,entropy,6.0,0.9978132035425531,0.0003962281748378054,6.125317610915976
,entropy,8.0,0.9984369511912886,0.0001776271484997627,6.461117000447907
,entropy,10.0,0.9985176705946411,0.00013249622915538788,6.514140505984297
,entropy,12.0,0.9984883176437425,9.953961150505594e-05,6.494532105135329
,entropy,14.0,0.9985690397395816,0.00010882641166749659,6.549409549290673
,entropy,16.0,0.9985763778426818,0.00019191240923153703,6.554550840162921
,entropy,18.0,0.9985690381240897,0.00015393266778657302,6.549408420334836
,entropy,20.0,0.9985617000209892,0.0001493142935027495,6.544293432947497
,entropy,22.0,0.9985617000209892,0.0001493142935027495,6.544293432947497
,entropy,24.0,0.9985617000209892,0.0001493142935027495,6.544293432947497
,entropy,26.0,0.9985617000209892,0.0001493142935027495,6.544293432947497
,entropy,28.0,0.9985617000209892,0.0001493142935027495,6.544293432947497
,entropy,30.0,0.9985617000209892,0.0001493142935027495,6.544293432947497
,entropy,35.0,0.9985617000209892,0.0001493142935027495,6.544293432947497
,entropy,40.0,0.9985617000209892,0.0001493142935027495,6.544293432947497
,entropy,45.0,0.9985617000209892,0.0001493142935027495,6.544293432947497
,entropy,50.0,0.9985617000209892,0.0001493142935027495,6.544293432947497
,entropy,,0.9985617000209892,0.0001493142935027495,6.544293432947497
balanced,gini,4.0,0.9921480581712278,0.0005925299679368416,4.846994411055344
balanced,gini,6.0,0.9951861071674035,0.0010535672905743372,5.336249201481747
balanced,gini,8.0,0.9976077240010561,0.000624148208885254,6.035510065376134
balanced,gini,10.0,0.9983709050324017,0.00021090655630884523,6.419730652965528
balanced,gini,12.0,0.9985029933114458,0.0001631045812582214,6.5042877055825254
balanced,gini,14.0,0.9986791134400761,0.00019826343351641434,6.629452131524592
balanced,gini,16.0,0.9986791110168382,0.0001657301605623422,6.629450296972107
balanced,gini,18.0,0.9986717734522351,0.0001528812270191183,6.623910649280816
balanced,gini,20.0,0.9986350821289876,0.0001679851635297089,6.596661019911813
balanced,gini,22.0,0.9986497583351881,0.00015807925446615126,6.607471691580572
balanced,gini,24.0,0.9986497583351881,0.00015807925446615126,6.607471691580572
balanced,gini,26.0,0.9986497583351881,0.00015807925446615126,6.607471691580572
balanced,gini,28.0,0.9986497583351881,0.00015807925446615126,6.607471691580572
balanced,gini,30.0,0.9986497583351881,0.00015807925446615126,6.607471691580572
balanced,gini,35.0,0.9986497583351881,0.00015807925446615126,6.607471691580572
balanced,gini,40.0,0.9986497583351881,0.00015807925446615126,6.607471691580572
balanced,gini,45.0,0.9986497583351881,0.00015807925446615126,6.607471691580572
balanced,gini,50.0,0.9986497583351881,0.00015807925446615126,6.607471691580572
balanced,gini,,0.9986497583351881,0.00015807925446615126,6.607471691580572
balanced,entropy,4.0,0.9971527581086018,0.0003523491903165157,5.8614045106852615
balanced,entropy,6.0,0.9977985257208605,0.0003741495284956647,6.118628016171022
balanced,entropy,8.0,0.9984956573623348,0.00015907262431099072,6.499399261804441
balanced,entropy,10.0,0.9985910548566286,0.00012834740236370457,6.564913979845916
balanced,entropy,12.0,0.9986864523509226,0.00015286121964956352,6.635023673076836
balanced,entropy,14.0,0.9987231434049215,0.00014748586362962684,6.663354006531725
balanced,entropy,16.0,0.9987084661217264,0.00020677556736278162,6.651924714046809
balanced,entropy,18.0,0.9987598323049314,0.00020150957634732192,6.692508670550449
balanced,entropy,20.0,0.9987158042248266,0.0002285470356826765,6.657622612460728
balanced,entropy,22.0,0.9987231423279269,0.00023367382361268814,6.663353163058656
balanced,entropy,24.0,0.9987231423279269,0.00023367382361268814,6.663353163058656
balanced,entropy,26.0,0.9987231423279269,0.00023367382361268814,6.663353163058656
balanced,entropy,28.0,0.9987231423279269,0.00023367382361268814,6.663353163058656
balanced,entropy,30.0,0.9987231423279269,0.00023367382361268814,6.663353163058656
balanced,entropy,35.0,0.9987231423279269,0.00023367382361268814,6.663353163058656
balanced,entropy,40.0,0.9987231423279269,0.00023367382361268814,6.663353163058656
balanced,entropy,45.0,0.9987231423279269,0.00023367382361268814,6.663353163058656
balanced,entropy,50.0,0.9987231423279269,0.00023367382361268814,6.663353163058656
balanced,entropy,,0.9987231423279269,0.00023367382361268814,6.663353163058656
