class_weight,criterion,max_depth,accuracy_tr,accuracy_val,log_accuracy_tr,log_accuracy_val
balanced,gini,40.0,0.9999952058143883,0.9997315281799528,-12.248106705195777,-8.22276460279265
balanced,gini,27.0,0.9999712348863299,0.9997315281799528,-10.456347235975441,-8.22276460279265
balanced,gini,28.0,0.9999808232575532,0.9997315281799528,-10.861812344081676,-8.22276460279265
balanced,gini,29.0,0.9999856174431649,0.9997315281799528,-11.149494416535386,-8.22276460279265
balanced,gini,30.0,0.9999904116287767,0.9997315281799528,-11.55495952464741,-8.22276460279265
balanced,gini,,0.9999952058143883,0.9997315281799528,-12.248106705195777,-8.22276460279265
balanced,gini,35.0,0.9999952058143883,0.9997315281799528,-12.248106705195777,-8.22276460279265
balanced,gini,45.0,0.9999952058143883,0.9997315281799528,-12.248106705195777,-8.22276460279265
balanced,gini,50.0,0.9999952058143883,0.9997315281799528,-12.248106705195777,-8.22276460279265
,gini,17.0,0.9999904116287767,0.9997123516213781,-11.55495952464741,-8.153771731305863
balanced,gini,26.0,0.9999616465151064,0.9997123516213781,-10.16866516352173,-8.153771731305863
,gini,28.0,0.9999952058143883,0.9996931750628032,-12.248106705195777,-8.089233210168075
,gini,29.0,0.9999952058143883,0.9996931750628032,-12.248106705195777,-8.089233210168075
,gini,30.0,0.9999952058143883,0.9996931750628032,-12.248106705195777,-8.089233210168075
,gini,40.0,0.9999952058143883,0.9996931750628032,-12.248106705195777,-8.089233210168075
,gini,45.0,0.9999952058143883,0.9996931750628032,-12.248106705195777,-8.089233210168075
,gini,35.0,0.9999952058143883,0.9996931750628032,-12.248106705195777,-8.089233210168075
,gini,50.0,0.9999952058143883,0.9996931750628032,-12.248106705195777,-8.089233210168075
,gini,,0.9999952058143883,0.9996931750628032,-12.248106705195777,-8.089233210168075
,gini,26.0,0.9999952058143883,0.9996931750628032,-12.248106705195777,-8.089233210168075
balanced,gini,25.0,0.9999472639582714,0.9996931750628032,-9.850211432403722,-8.089233210168075
balanced,gini,24.0,0.9999041162877662,0.9996931750628032,-9.252374431648732,-8.089233210168075
,gini,27.0,0.9999952058143883,0.9996931750628032,-12.248106705195777,-8.089233210168075
,gini,25.0,0.9999952058143883,0.9996931750628032,-12.248106705195777,-8.089233210168075
,gini,23.0,0.9999952058143883,0.9996931750628032,-12.248106705195777,-8.089233210168075
,gini,22.0,0.9999952058143883,0.9996931750628032,-12.248106705195777,-8.089233210168075
,gini,21.0,0.9999952058143883,0.9996931750628032,-12.248106705195777,-8.089233210168075
,gini,20.0,0.9999952058143883,0.9996931750628032,-12.248106705195777,-8.089233210168075
,gini,24.0,0.9999952058143883,0.9996931750628032,-12.248106705195777,-8.089233210168075
,gini,19.0,0.9999952058143883,0.9996931750628032,-12.248106705195777,-8.089233210168075
,gini,18.0,0.9999904116287767,0.9996931750628032,-11.55495952464741,-8.089233210168075
,gini,16.0,0.9999856174431649,0.9996739985042284,-11.149494416535386,-8.028608588351789
,gini,15.0,0.9999760290719415,0.9996356453870788,-10.638668792766307,-7.9173829532415105
,gini,12.0,0.9999089104733779,0.9996356453870788,-9.303667726036648,-7.9173829532415105
,gini,13.0,0.9999472639582714,0.9996164688285041,-9.850211432403722,-7.866089658854081
,gini,11.0,0.999860968617261,0.9996164688285041,-8.88081087521649,-7.866089658854081
,entropy,21.0,0.9999856174431649,0.9996164688285041,-11.149494416535386,-7.866089658854081
balanced,entropy,21.0,0.9999952058143883,0.9996164688285041,-12.248106705195777,-7.866089658854081
,entropy,35.0,0.9999952058143883,0.9995972922699292,-12.248106705195777,-7.817299494684484
balanced,entropy,40.0,0.9999952058143883,0.9995972922699292,-12.248106705195777,-7.817299494684484
balanced,entropy,45.0,0.9999952058143883,0.9995972922699292,-12.248106705195777,-7.817299494684484
,entropy,30.0,0.9999952058143883,0.9995972922699292,-12.248106705195777,-7.817299494684484
balanced,entropy,30.0,0.9999952058143883,0.9995972922699292,-12.248106705195777,-7.817299494684484
,entropy,40.0,0.9999952058143883,0.9995972922699292,-12.248106705195777,-7.817299494684484
,entropy,45.0,0.9999952058143883,0.9995972922699292,-12.248106705195777,-7.817299494684484
,entropy,50.0,0.9999952058143883,0.9995972922699292,-12.248106705195777,-7.817299494684484
,entropy,,0.9999952058143883,0.9995972922699292,-12.248106705195777,-7.817299494684484
balanced,entropy,35.0,0.9999952058143883,0.9995972922699292,-12.248106705195777,-7.817299494684484
balanced,entropy,,0.9999952058143883,0.9995972922699292,-12.248106705195777,-7.817299494684484
balanced,entropy,29.0,0.9999952058143883,0.9995972922699292,-12.248106705195777,-7.817299494684484
balanced,entropy,28.0,0.9999952058143883,0.9995972922699292,-12.248106705195777,-7.817299494684484
balanced,gini,22.0,0.9996931721208518,0.9995972922699292,-8.08922362184298,-7.817299494684484
balanced,gini,23.0,0.999798644204309,0.9995972922699292,-8.510437086919024,-7.817299494684484
,entropy,27.0,0.9999952058143883,0.9995972922699292,-12.248106705195777,-7.817299494684484
balanced,entropy,27.0,0.9999952058143883,0.9995972922699292,-12.248106705195777,-7.817299494684484
balanced,entropy,26.0,0.9999952058143883,0.9995972922699292,-12.248106705195777,-7.817299494684484
balanced,entropy,25.0,0.9999952058143883,0.9995972922699292,-12.248106705195777,-7.817299494684484
balanced,entropy,24.0,0.9999952058143883,0.9995972922699292,-12.248106705195777,-7.817299494684484
balanced,entropy,22.0,0.9999952058143883,0.9995972922699292,-12.248106705195777,-7.817299494684484
balanced,entropy,18.0,0.9999520581438831,0.9995972922699292,-9.945521612208678,-7.817299494684484
,entropy,29.0,0.9999952058143883,0.9995972922699292,-12.248106705195777,-7.817299494684484
,entropy,28.0,0.9999952058143883,0.9995972922699292,-12.248106705195777,-7.817299494684484
,entropy,26.0,0.9999952058143883,0.9995972922699292,-12.248106705195777,-7.817299494684484
,entropy,25.0,0.9999952058143883,0.9995972922699292,-12.248106705195777,-7.817299494684484
,entropy,24.0,0.9999952058143883,0.9995972922699292,-12.248106705195777,-7.817299494684484
,entropy,23.0,0.9999952058143883,0.9995972922699292,-12.248106705195777,-7.817299494684484
,entropy,22.0,0.9999952058143883,0.9995972922699292,-12.248106705195777,-7.817299494684484
,gini,14.0,0.9999664407007182,0.9995972922699292,-10.302196556147079,-7.817299494684484
balanced,entropy,50.0,0.9999952058143883,0.9995972922699292,-12.248106705195777,-7.817299494684484
balanced,entropy,20.0,0.9999760290719415,0.9995781157113545,-10.638668792766307,-7.770779479049704
balanced,entropy,23.0,0.9999952058143883,0.9995781157113545,-12.248106705195777,-7.770779479049704
balanced,entropy,19.0,0.9999568523294948,0.9995781157113545,-10.050882127867276,-7.770779479049704
,entropy,20.0,0.9999760290719415,0.9995781157113545,-10.638668792766307,-7.770779479049704
,entropy,17.0,0.9999568523294948,0.9995589391527796,-10.050882127867276,-7.726327716478721
balanced,entropy,17.0,0.9999041162877662,0.9995589391527796,-9.252374431648732,-7.726327716478721
,entropy,19.0,0.9999568523294948,0.9995397625942049,-10.050882127867276,-7.68376810206003
,entropy,18.0,0.9999712348863299,0.9995397625942049,-10.456347235975441,-7.68376810206003
balanced,gini,21.0,0.9996883779352401,0.9995397625942049,-8.07371943530691,-7.68376810206003
,entropy,15.0,0.9999041162877662,0.9995014094770552,-9.252374431648732,-7.603725394386457
,entropy,13.0,0.9998369976892025,0.9995014094770552,-8.721746180586425,-7.603725394386457
,entropy,16.0,0.9999137046589895,0.9995014094770552,-9.357734947306044,-7.603725394386457
balanced,gini,20.0,0.9996020825942297,0.9994438798013309,-7.829266097405875,-7.494526102421519
balanced,entropy,16.0,0.9997507023481921,0.9994438798013309,-8.29686298662103,-7.494526102421519
,gini,10.0,0.9997746732762506,0.9994438798013309,-8.397959103492616,-7.494526102421519
,entropy,14.0,0.9998657628028726,0.999424703242756,-8.915902195027188,-7.460624550745724
,entropy,11.0,0.9997507023481921,0.9994055266841813,-8.29686298662103,-7.427834727922814
