C,class_weight,degree,gamma,kernel,accuracy_val,std_accuracy_val,log_accuracy_val
1.0,,3,1.0,poly,0.9982322824720946,0.0003348837957848985,6.33806609681544
0.1,,3,1.0,poly,0.9982083975977026,0.0002749783136651212,6.324644862765001
1.0,,4,0.1,poly,0.998136741547883,0.000316879312673035,6.2854284679900365
10.0,,4,0.1,poly,0.998124792690789,0.00022215536811457436,6.27903606075909
10.0,,2,1.0,poly,0.9981009056764311,0.0003571068415616206,6.266378178259684
10.0,,3,0.1,poly,0.9980889632392351,0.0003681165572356107,6.260109377506677
1.0,,2,1.0,poly,0.9980889596726252,0.0002234433261723832,6.2601075111864475
10.0,,2,0.1,poly,0.9980531295077494,0.00021891432993326637,6.241532071368026
0.1,,2,1.0,poly,0.9980531295077494,0.00021891432993326637,6.241532071368026
1.0,,3,0.1,poly,0.9980292424933914,0.0001998292301088305,6.229337289020434
0.1,,4,1.0,poly,0.9980172943496195,0.00015755774643126823,6.223292876982439
1.0,balanced,3,1.0,poly,0.9979934059086174,0.00031736293246890484,6.211316476068647
10.0,,3,1.0,poly,0.9979695160409715,0.00018117341486885782,6.199481110879717
1.0,,2,0.1,poly,0.9979575764570636,0.00023706628229357496,6.193618165009636
0.1,balanced,4,1.0,poly,0.9978500795425379,0.0003888602023720882,6.142324434056212
10.0,balanced,3,1.0,poly,0.9978261889615702,0.0004147910770587885,6.1312734129063005
1.0,,4,1.0,poly,0.9977186956136546,0.000365016184719146,6.083007900327873
1.0,balanced,4,1.0,poly,0.9976470302906488,0.0003673615572372688,6.0520770425236945
0.1,balanced,3,1.0,poly,0.9975634203904808,0.00026548824128665144,6.017160022494335
0.1,,4,0.1,poly,0.9975514822332172,0.00016019589875156763,6.012272430657586
0.1,,3,0.1,poly,0.9974320443081396,0.0002417954904450288,5.96464514725171
10.0,balanced,4,1.0,poly,0.997348432268006,0.0002739131437033509,5.9326042169296285
10.0,,4,1.0,poly,0.9973125985365201,0.00033570545427369304,5.9191805509521895
10.0,balanced,4,0.1,poly,0.9969542769147454,0.00032271943175058,5.79401693958908
10.0,,2,0.01,poly,0.9967273449284303,0.00033010996473774616,5.722153675032567
0.1,,2,0.1,poly,0.9967273449284303,0.00033010996473774616,5.722153675032567
10.0,balanced,2,1.0,poly,0.9961659747680883,0.0004178568755070205,5.563840053287049
10.0,balanced,3,0.1,poly,0.9956404333459782,0.00039437965159203975,5.435382617840234
1.0,balanced,2,1.0,poly,0.9953418374633014,0.0003270962013740713,5.369134214032895
1.0,balanced,4,0.1,poly,0.9949715669844326,0.00038415612357822185,5.2926468711255215
10.0,,3,0.01,poly,0.9941593828166717,0.0003100442243854179,5.142918805649197
10.0,balanced,2,0.1,poly,0.9938846682417768,0.0006085556344487797,5.096956258130153
0.1,balanced,2,1.0,poly,0.9938846682417768,0.0006085556344487797,5.096956258130153
1.0,balanced,3,0.1,poly,0.993538291197164,0.0004798577807274239,5.041861475604169
0.1,balanced,4,0.1,poly,0.9920094616458879,0.0005843688639459202,4.829497142986658
1.0,balanced,2,0.1,poly,0.9910658906959554,0.0007161459802901762,4.717878821512704
0.1,balanced,3,0.1,poly,0.9906239620273011,0.0007693482428882396,4.669597996166462
10.0,balanced,2,0.01,poly,0.9896564940765027,0.0005114259657993649,4.5713964032031
0.1,balanced,2,0.1,poly,0.9896445502126626,0.0005240973164492106,4.570242348348108
10.0,balanced,3,0.01,poly,0.9874707370342666,0.0005657945479527767,4.3796883333737755
1.0,,2,0.01,poly,0.9864196648898768,8.933699318918226e-05,4.299132480416492
10.0,,4,0.01,poly,0.9859299607658626,2.9052276211611447e-05,4.26370761936382
0.1,,2,0.01,poly,0.9859299607658626,2.9052276211611447e-05,4.26370761936382
1.0,,4,0.01,poly,0.9859299607658626,2.9052276211611447e-05,4.26370761936382
1.0,,3,0.01,poly,0.9859299607658626,2.9052276211611447e-05,4.26370761936382
0.1,,4,0.01,poly,0.9859299607658626,2.9052276211611447e-05,4.26370761936382
0.1,,3,0.01,poly,0.9859299607658626,2.9052276211611447e-05,4.26370761936382
10.0,balanced,4,0.01,poly,0.9825617590635052,0.000878340607579772,4.049089729321487
1.0,balanced,2,0.01,poly,0.9823228703735538,0.0007582238380175861,4.0354835863984135
1.0,balanced,4,0.01,poly,0.9795757552974503,0.0008486207032386714,3.891032617987149
1.0,balanced,3,0.01,poly,0.9757536660828364,0.0002671384557357383,3.7194898517009594
0.1,balanced,3,0.01,poly,0.9711671567426692,0.0011677429264836002,3.54624015071244
0.1,balanced,2,0.01,poly,0.9675720095008786,0.0008626112245620284,3.428733324840518
0.1,balanced,4,0.01,poly,0.9390492423307538,0.06579435599623872,2.797688992135465
