class_weight,criterion,max_depth,accuracy_val,std_accuracy_val,log_accuracy_val
balanced,entropy,20.0,0.9994103152156757,7.670697862740583e-05,-7.435922427691404
balanced,entropy,,0.9994055210070798,7.013302932943787e-05,-7.427825178168104
balanced,entropy,26.0,0.9994055210070798,7.013302932943787e-05,-7.427825178168104
balanced,entropy,45.0,0.9994055210070798,7.013302932943787e-05,-7.427825178168104
balanced,entropy,35.0,0.9994055210070798,7.013302932943787e-05,-7.427825178168104
balanced,entropy,30.0,0.9994055210070798,7.013302932943787e-05,-7.427825178168104
balanced,entropy,29.0,0.9994055210070798,7.013302932943787e-05,-7.427825178168104
balanced,entropy,28.0,0.9994055210070798,7.013302932943787e-05,-7.427825178168104
balanced,entropy,27.0,0.9994055210070798,7.013302932943787e-05,-7.427825178168104
balanced,entropy,40.0,0.9994055210070798,7.013302932943787e-05,-7.427825178168104
balanced,entropy,25.0,0.9994055210070798,7.013302932943787e-05,-7.427825178168104
balanced,entropy,50.0,0.9994055210070798,7.013302932943787e-05,-7.427825178168104
balanced,entropy,23.0,0.9994055208921603,7.013397985055856e-05,-7.427824984856803
balanced,entropy,24.0,0.9994007267984838,6.947468320230302e-05,-7.419792967808625
balanced,entropy,22.0,0.9994007266835642,7.580396607965854e-05,-7.4197927760436375
,entropy,17.0,0.999376755870423,0.00011243415793197983,-7.3805722546550445
balanced,entropy,19.0,0.9993719617767465,8.495289257765249e-05,-7.372909528294895
balanced,entropy,21.0,0.9993719615469076,5.118975511179227e-05,-7.372909162331686
,gini,14.0,0.999352784597604,7.271050135334092e-05,-7.3428313939926895
,gini,16.0,0.9993431965251702,9.660093468531137e-05,-7.328125709295334
,gini,13.0,0.9993431962953314,8.917928839772642e-05,-7.3281253593599525
,entropy,20.0,0.9993384024314936,0.0001255677565057333,-7.320853089433301
,entropy,19.0,0.9993336083378171,0.00014414485254344344,-7.313632978920327
,entropy,26.0,0.9993336079930588,0.0001316454430280992,-7.313632461569551
,entropy,22.0,0.9993336079930588,0.0001316454430280992,-7.313632461569551
,entropy,23.0,0.9993336079930588,0.0001316454430280992,-7.313632461569551
,entropy,24.0,0.9993336079930588,0.0001316454430280992,-7.313632461569551
,entropy,25.0,0.9993336079930588,0.0001316454430280992,-7.313632461569551
,entropy,35.0,0.9993336079930588,0.0001316454430280992,-7.313632461569551
,entropy,28.0,0.9993336079930588,0.0001316454430280992,-7.313632461569551
,entropy,29.0,0.9993336079930588,0.0001316454430280992,-7.313632461569551
,entropy,30.0,0.9993336079930588,0.0001316454430280992,-7.313632461569551
,entropy,45.0,0.9993336079930588,0.0001316454430280992,-7.313632461569551
,entropy,50.0,0.9993336079930588,0.0001316454430280992,-7.313632461569551
,entropy,,0.9993336079930588,0.0001316454430280992,-7.313632461569551
,entropy,40.0,0.9993336079930588,0.0001316454430280992,-7.313632461569551
,entropy,27.0,0.9993336079930588,0.0001316454430280992,-7.313632461569551
,gini,15.0,0.9993336079930588,0.00010869341293360839,-7.313632461569551
,entropy,18.0,0.9993192257120291,0.00010124703779978022,-7.292279748793661
,entropy,16.0,0.9993192255971095,0.00013094445788155117,-7.292279579986434
balanced,entropy,18.0,0.9993192253672707,9.17204853116232e-05,-7.292279242372718
,entropy,14.0,0.999314431503433,0.0001361080144611287,-7.285262141901295
,entropy,13.0,0.9993144313885137,0.00010459772543508635,-7.285261974275029
,gini,12.0,0.9993096374097565,0.00011078578683000518,-7.278293605289649
,entropy,21.0,0.9993000493373227,0.00013761716638666164,-7.264500707294475
,entropy,15.0,0.9992904604604529,0.00012185254041443754,-7.250894334168396
