class_weight,criterion,max_depth,accuracy_val,std_accuracy_val,log_accuracy_val
balanced,gini,22.0,0.9989272943980929,0.00019316170075098216,6.837571222124981
balanced,gini,,0.9989196047522011,0.00019239487874500398,6.830428334612591
balanced,gini,50.0,0.9989196047522011,0.00019239487874500398,6.830428334612591
balanced,gini,40.0,0.9989196047522011,0.00019239487874500398,6.830428334612591
balanced,gini,35.0,0.9989196047522011,0.00019239487874500398,6.830428334612591
balanced,gini,28.0,0.9989196047522011,0.00019239487874500398,6.830428334612591
balanced,gini,26.0,0.9989196047522011,0.00019239487874500398,6.830428334612591
balanced,gini,24.0,0.9989196047522011,0.00019239487874500398,6.830428334612591
balanced,gini,20.0,0.9989003806374717,0.00018009209779125477,6.812791193126563
balanced,gini,18.0,0.9988926909915798,0.00019926423191740688,6.805822523810459
balanced,gini,16.0,0.9988234841785536,0.00017509781286072573,6.745197901994036
balanced,gini,14.0,0.998769656657311,0.00013038428972904654,6.700462008152673
balanced,gini,12.0,0.9987427428966896,0.00015503744975705637,6.6788228330491615
balanced,gini,10.0,0.998523587988773,0.00019695103194842945,6.5181404513586285
balanced,gini,8.0,0.9981813987465877,0.00013352113002565948,6.3096876154544725
balanced,gini,6.0,0.9929755084778347,0.0004911149940969834,4.9583524475684015
balanced,gini,4.0,0.9906647698873468,0.0003955872541625498,4.673959851767016
balanced,gini,2.0,0.9859817755392365,0.0005026876262834335,4.267397048707795
