class_weight,criterion,max_depth,accuracy_val,std_accuracy_val,log_accuracy_val
,gini,16.0,0.9992569012301198,6.432105830864872e-05,-7.2046815881915185
balanced,entropy,,0.9992473128129277,6.36029017829432e-05,-7.1918608386907925
balanced,entropy,50.0,0.9992473128129277,6.36029017829432e-05,-7.1918608386907925
balanced,entropy,27.0,0.9992473128129277,6.36029017829432e-05,-7.1918608386907925
balanced,entropy,28.0,0.9992473128129277,6.36029017829432e-05,-7.1918608386907925
balanced,entropy,29.0,0.9992473128129277,6.36029017829432e-05,-7.1918608386907925
balanced,entropy,35.0,0.9992473128129277,6.36029017829432e-05,-7.1918608386907925
balanced,entropy,40.0,0.9992473128129277,6.36029017829432e-05,-7.1918608386907925
balanced,entropy,45.0,0.9992473128129277,6.36029017829432e-05,-7.1918608386907925
balanced,entropy,30.0,0.9992473128129277,6.36029017829432e-05,-7.1918608386907925
balanced,entropy,26.0,0.9992473128129277,6.36029017829432e-05,-7.1918608386907925
balanced,entropy,25.0,0.9992473128129277,6.36029017829432e-05,-7.1918608386907925
,entropy,17.0,0.9992425194087676,0.00010676582064633272,-7.185512643044483
balanced,entropy,22.0,0.9992425186043317,7.207346999469446e-05,-7.18551158105617
balanced,entropy,23.0,0.9992425186043317,7.207346999469446e-05,-7.18551158105617
,gini,14.0,0.9992425183744927,0.00010124956267901408,-7.18551127763104
balanced,entropy,24.0,0.9992377243957357,7.013419995328675e-05,-7.179202382283747
,gini,13.0,0.9992329300722202,9.707702818703222e-05,-7.172932590244646
,entropy,15.0,0.9992281372426574,0.00016355921242399766,-7.166703799206323
,gini,17.0,0.9992281359785435,9.02036327943641e-05,-7.1667021614633875
balanced,entropy,21.0,0.9992185475613515,5.7931001941048665e-05,-7.154356269009795
,gini,11.0,0.9992185473315127,0.00014589092852998643,-7.1543559748923675
,entropy,16.0,0.9992137543870305,0.00015265854552608238,-7.148241329654256
,gini,12.0,0.9992137534676748,0.00011078731856072735,-7.148240160356584
,entropy,18.0,0.9992089599485956,0.00011644642782111315,-7.142161957591745
,entropy,19.0,0.9992089599485954,0.00012222453401842807,-7.1421619575914645
,entropy,14.0,0.9992089598336762,0.0001477646741570492,-7.14216181231541
,gini,19.0,0.9992089591441596,0.00012501903119353837,-7.142160940657708
balanced,gini,35.0,0.9992041660847578,9.986732903720159e-05,-7.136120043083399
balanced,gini,40.0,0.9992041660847578,9.986732903720159e-05,-7.136120043083399
balanced,gini,50.0,0.9992041660847578,9.986732903720159e-05,-7.136120043083399
balanced,gini,30.0,0.9992041660847578,9.986732903720159e-05,-7.136120043083399
balanced,gini,29.0,0.9992041660847578,9.986732903720159e-05,-7.136120043083399
balanced,gini,28.0,0.9992041660847578,9.986732903720159e-05,-7.136120043083399
balanced,gini,45.0,0.9992041660847578,9.986732903720159e-05,-7.136120043083399
balanced,gini,27.0,0.9992041660847578,9.986732903720159e-05,-7.136120043083399
balanced,gini,26.0,0.9992041660847578,9.986732903720159e-05,-7.136120043083399
balanced,gini,,0.9992041660847578,9.986732903720159e-05,-7.136120043083399
,gini,18.0,0.9992041649355634,0.00012166491943487336,-7.136118599071584
,entropy,21.0,0.9991993715314035,9.53984994656779e-05,-7.130113552961666
,entropy,20.0,0.9991993715314035,9.53984994656779e-05,-7.130113552961666
balanced,gini,25.0,0.9991945776675657,9.659197458748089e-05,-7.124143781555007
balanced,entropy,20.0,0.9991945768631298,6.360177575437704e-05,-7.124142782780305
,gini,15.0,0.9991945768631298,6.17684508344386e-05,-7.124142782780305
,gini,50.0,0.9991897823097755,0.00011585934978946831,-7.118207593041937
,gini,,0.9991897823097755,0.00011585934978946831,-7.118207593041937
,gini,28.0,0.9991897823097755,0.00011585934978946831,-7.118207593041937
,gini,20.0,0.9991897823097755,0.00011585934978946831,-7.118207593041937
,gini,21.0,0.9991897823097755,0.00011585934978946831,-7.118207593041937
,gini,22.0,0.9991897823097755,0.00011585934978946831,-7.118207593041937
,gini,23.0,0.9991897823097755,0.00011585934978946831,-7.118207593041937
,gini,24.0,0.9991897823097755,0.00011585934978946831,-7.118207593041937
,gini,25.0,0.9991897823097755,0.00011585934978946831,-7.118207593041937
,gini,26.0,0.9991897823097755,0.00011585934978946831,-7.118207593041937
,gini,27.0,0.9991897823097755,0.00011585934978946831,-7.118207593041937
,gini,29.0,0.9991897823097755,0.00011585934978946831,-7.118207593041937
,gini,30.0,0.9991897823097755,0.00011585934978946831,-7.118207593041937
,gini,35.0,0.9991897823097755,0.00011585934978946831,-7.118207593041937
,gini,40.0,0.9991897823097755,0.00011585934978946831,-7.118207593041937
,gini,45.0,0.9991897823097755,0.00011585934978946831,-7.118207593041937
balanced,gini,23.0,0.9991849892503737,8.708204619443234e-05,-7.112309255084861
balanced,gini,24.0,0.9991801950417777,9.019398213080585e-05,-7.1064441018246045
,entropy,40.0,0.9991754004884233,0.00010568671773699008,-7.100612730007135
,entropy,,0.9991754004884233,0.00010568671773699008,-7.100612730007135
,entropy,50.0,0.9991754004884233,0.00010568671773699008,-7.100612730007135
,entropy,45.0,0.9991754004884233,0.00010568671773699008,-7.100612730007135
,entropy,27.0,0.9991754004884233,0.00010568671773699008,-7.100612730007135
,entropy,35.0,0.9991754004884233,0.00010568671773699008,-7.100612730007135
,entropy,29.0,0.9991754004884233,0.00010568671773699008,-7.100612730007135
,entropy,28.0,0.9991754004884233,0.00010568671773699008,-7.100612730007135
,entropy,26.0,0.9991754004884233,0.00010568671773699008,-7.100612730007135
,entropy,25.0,0.9991754004884233,0.00010568671773699008,-7.100612730007135
,entropy,24.0,0.9991754004884233,0.00010568671773699008,-7.100612730007135
,entropy,23.0,0.9991754004884233,0.00010568671773699008,-7.100612730007135
,entropy,22.0,0.9991754004884233,0.00010568671773699008,-7.100612730007135
,entropy,30.0,0.9991754004884233,0.00010568671773699008,-7.100612730007135
balanced,entropy,19.0,0.9991562236540392,4.6475271465246385e-05,-7.077623091422616
balanced,gini,22.0,0.9991514297902017,6.880064637548953e-05,-7.071957730928513
balanced,entropy,18.0,0.999151429330524,2.875958291628735e-05,-7.071957189220237
,entropy,13.0,0.9991418419476068,0.00017111278914304533,-7.060722265192453
balanced,entropy,17.0,0.9991322527259788,9.871575019115439e-05,-7.049610044660711
,entropy,12.0,0.9991178707897073,0.0001417263709697291,-7.03317201575657
,entropy,11.0,0.9990986947597593,0.0001860388006734586,-7.0116665783273
balanced,gini,21.0,0.9990986938404036,8.385514932646855e-05,-7.011665558300796
,gini,10.0,0.9990843106400187,6.677431228186418e-05,-6.995833377464541
balanced,gini,20.0,0.999079517350778,0.00014269542227113275,-6.990612406765963
,entropy,10.0,0.9990747219929876,0.0001109954231607926,-6.985416317485913
,gini,9.0,0.9990363694734137,8.219284330226629e-05,-6.944802607996912
balanced,entropy,16.0,0.999012397970756,0.0001417320386590277,-6.9202307457728285
balanced,gini,19.0,0.9989932217109689,0.00010169272156990988,-6.90099985926711
,entropy,9.0,0.9989692506679889,8.303016720368483e-05,-6.877469234438515
,entropy,8.0,0.9989356908630587,1.1737034014860096e-05,-6.845429388023812
balanced,gini,18.0,0.9989308972290598,0.00012737945059204678,-6.8409355141043955
,gini,8.0,0.9989165137988358,3.836046405051183e-05,-6.827571472496587
,gini,7.0,0.9988302189634627,0.00013423553868772235,-6.750938695945603
balanced,gini,17.0,0.9987822768775025,4.8890953060840196e-05,-6.710772456966521
balanced,entropy,15.0,0.9987726894945854,0.0002583483956031117,-6.7029300846202275
,entropy,7.0,0.9987726876558746,0.00016566581470762063,-6.702928586458626
balanced,entropy,14.0,0.9986576282584423,0.000250034052015594,-6.613317273159945
,entropy,6.0,0.9986384507345416,6.678589599867813e-05,-6.599132061812936
balanced,gini,16.0,0.9985761269421488,0.00015799018770940325,-6.554374614733408
,entropy,5.0,0.9984370955823809,0.00013678099387082982,-6.461209382567506
,gini,6.0,0.9984227136461093,0.00011584667238898142,-6.452049406070656
balanced,entropy,13.0,0.9983747719049075,0.00026752674460138015,-6.422107106840102
balanced,gini,15.0,0.9983651827981989,0.00023161470138431212,-6.416224284063091
,gini,4.0,0.9983555949556042,0.00012464059322815193,-6.410376635324373
,gini,5.0,0.9983364180063005,0.0001237181749312874,-6.398782173849972
,gini,3.0,0.9982453286175733,0.00010868273878191147,-6.345473686077639
balanced,gini,14.0,0.9979384999569447,0.00031107137731776157,-6.184321384931908
,entropy,3.0,0.9979337048289935,0.0002271152697971939,-6.181998047721819
,entropy,4.0,0.9978474106831371,0.00012720434051177599,-6.141083828045719
,gini,2.0,0.9978330289767046,0.00016157418239142406,-6.134424928323761
balanced,entropy,12.0,0.9976796147613097,0.0005844978493974781,-6.066022055929287
balanced,gini,13.0,0.9976316710664775,0.0005345967775925439,-6.045570663869641
balanced,gini,12.0,0.9973296378785588,0.0005088677231134691,-5.925541189758404
balanced,entropy,11.0,0.9969317189098478,0.0006805499891543628,-5.786637779676517
,entropy,2.0,0.9967159823960128,0.0002117134438275405,-5.718687726874283
balanced,gini,11.0,0.996629687905398,0.0006176139607735079,-5.692749929231684
balanced,entropy,10.0,0.9959057609134471,0.0012464504392073333,-5.498174394192486
balanced,gini,10.0,0.9955174416240318,0.0009840105564476985,-5.407561329487081
balanced,entropy,9.0,0.9951434845047468,0.0017429949716325015,-5.327434074505495
balanced,gini,9.0,0.9944435398178797,0.00041390233968784356,-5.192794031364374
,gini,1.0,0.9943524493948775,1.1721325178391406e-05,-5.176533349038543
,entropy,1.0,0.9943524493948775,1.1721325178391406e-05,-5.176533349038543
balanced,gini,8.0,0.9930148624385229,0.001120451115518497,-4.963970592626458
balanced,entropy,8.0,0.9916053639621,0.003299381099113008,-4.780162344020224
balanced,entropy,7.0,0.9914088284157284,0.002598743066218402,-4.757020162964663
balanced,gini,7.0,0.9910636252859156,0.002022627452008456,-4.717625285005285
balanced,gini,6.0,0.9905746343962301,0.0013611761010755663,-4.664350755549486
balanced,entropy,6.0,0.9899034465718209,0.0022991850276507584,-4.595561158106904
balanced,gini,5.0,0.9876693370918789,0.004698885079505514,-4.395666199413222
balanced,gini,4.0,0.9864803885294311,0.003103294925763643,-4.3036139461642025
balanced,entropy,4.0,0.9830909239633632,0.004672242320599694,-4.07990475762143
balanced,entropy,5.0,0.9818252608234553,0.004676500643053499,-4.0077226063370714
balanced,entropy,3.0,0.9662489198450256,0.0061690981493715555,-3.3887428575839
balanced,gini,2.0,0.9586933122570187,0.006078508188232721,-3.1867308613017387
balanced,gini,3.0,0.95831457046745,0.0061726513789536015,-3.177603622925319
balanced,entropy,2.0,0.9329390042176383,0.03196210350880751,-2.7021526889287175
balanced,gini,1.0,0.9190405934977879,0.001097063421310548,-2.5138074042231606
balanced,entropy,1.0,0.9149990756513464,0.0049932233636698865,-2.4650931478609075
