C,class_weight,degree,gamma,kernel,accuracy_tr,accuracy_val,log_accuracy_tr,log_accuracy_val
0.01,,4,3,poly,0.9999184988446013,0.9993096438913073,-9.41489336114637,-7.278302993951866
1.0,,3,3,poly,0.9998657628028726,0.9993096438913073,-8.915902195027188,-7.278302993951866
0.01,,5,1,poly,0.9999089104733779,0.9992904673327324,-9.303667726036648,-7.25090401976366
0.01,,4,1,poly,0.9996787895640168,0.9992904673327324,-8.043414085811722,-7.25090401976366
1.0,,4,1,poly,0.9999280872158246,0.9992712907741577,-9.540056504099741,-7.224235772681565
10.0,,3,2,poly,0.9999137046589895,0.9992712907741577,-9.357734947306044,-7.224235772681565
0.1,,3,1,poly,0.9995109930676076,0.9992712907741577,-7.623133891918316,-7.224235772681565
0.1,,3,2,poly,0.9996404360791232,0.9992712907741577,-7.930618591666259,-7.224235772681565
0.01,,3,3,poly,0.9995972884086181,0.9992521142155829,-7.817289906359355,-7.198260286278367
0.1,,4,1,poly,0.9998513802460376,0.9992521142155829,-8.814119500717354,-7.198260286278367
0.01,balanced,4,3,poly,0.9998034383899207,0.999232937657008,-8.534534638498247,-7.172942478293992
1.0,balanced,4,1,poly,0.999813026761144,0.999232937657008,-8.584545059072662,-7.172942478293992
10.0,,3,1,poly,0.9998322035035908,0.999232937657008,-8.69275864371298,-7.172942478293992
0.1,,3,3,poly,0.9997267314201337,0.999232937657008,-8.205055437368133,-7.172942478293992
0.01,,3,2,poly,0.9994774337683258,0.999232937657008,-7.556758822973431,-7.172942478293992
0.01,,4,2,poly,0.9998705569884844,0.9992137610984333,-8.952269839198308,-7.14824986570368
10.0,,3,3,poly,0.999923293030213,0.9992137610984333,-9.475517982963233,-7.14824986570368
1.0,,3,1,poly,0.9996500244503467,0.9991945845398584,-7.957647264054364,-7.124152314124539
0.1,balanced,4,2,poly,0.9998322035035908,0.9991945845398584,-8.69275864371298,-7.124152314124539
0.01,balanced,5,1,poly,0.9997698790906389,0.9991945845398584,-8.37690569429464,-7.124152314124539
1.0,,3,2,poly,0.9998274093179792,0.9991754079812837,-8.664587766746742,-7.100621816714402
10.0,balanced,3,1,poly,0.999582905851783,0.9991562314227089,-7.782198586548113,-7.077632298489759
0.01,balanced,4,2,poly,0.9996787895640168,0.9991562314227089,-8.043414085811722,-7.077632298489759
1.0,balanced,3,2,poly,0.9995541407381128,0.9991370548641341,-7.715507212049244,-7.055159442637624
1.0,balanced,5,1,poly,0.9999664407007182,0.9991370548641341,-10.302196556147079,-7.055159442637624
10.0,balanced,3,2,poly,0.9997842616474739,0.9991370548641341,-8.441444215432147,-7.055159442637624
10.0,balanced,3,3,poly,0.9998705569884844,0.9991370548641341,-8.952269839198308,-7.055159442637624
1.0,balanced,3,3,poly,0.9996692011927933,0.9990987017469845,-8.01400020060523,-7.011674330697867
10.0,,2,1,poly,0.9992856663438582,0.9990987017469845,-7.244160399257156,-7.011674330697867
10.0,,2,2,poly,0.9992569012301881,0.9990987017469845,-7.204681588283402,-7.011674330697867
10.0,,2,3,poly,0.9992664896014114,0.9990987017469845,-7.217668783810152,-7.011674330697867
0.1,,4,2,poly,0.9999280872158246,0.9990987017469845,-9.540056504099741,-7.011674330697867
1.0,,2,2,poly,0.9992137535596828,0.9990987017469845,-7.148240277378356,-7.011674330697867
1.0,,2,3,poly,0.9992808721582465,0.9990987017469845,-7.237471411106314,-7.011674330697867
1.0,balanced,4,3,poly,0.9999664407007182,0.9990795251884097,-10.302196556147079,-6.990620921500085
0.1,balanced,5,1,poly,0.999923293030213,0.9990603486298348,-9.475517982963233,-6.97000163429728
0.1,balanced,4,3,poly,0.9999328814014363,0.9990603486298348,-9.609049375587134,-6.97000163429728
1.0,,5,1,poly,0.9999760290719415,0.9990603486298348,-10.638668792766307,-6.97000163429728
0.01,,3,1,poly,0.9992089593740712,0.9990411720712601,-7.142161231302073,-6.949798926979811
0.1,,2,3,poly,0.9990938989193906,0.9990411720712601,-7.006359690142996,-6.949798926979811
1.0,,2,1,poly,0.999117869847449,0.9990219955126853,-7.033170947593587,-6.929996299683679
0.01,,2,3,poly,0.9990123977639919,0.9990219955126853,-6.920230536413053,-6.929996299683679
0.1,,2,1,poly,0.9990076035783801,0.9990219955126853,-6.9153879119372315,-6.929996299683679
0.1,,2,2,poly,0.9990603396201088,0.9990219955126853,-6.969992045972112,-6.929996299683679
0.01,balanced,5,3,poly,0.9999808232575532,0.9990219955126853,-10.861812344081676,-6.929996299683679
0.1,balanced,4,1,poly,0.9996116709654531,0.9990028189541105,-7.853657550530199,-6.910578213826511
10.0,balanced,4,1,poly,0.999937675587048,0.9990028189541105,-9.683157347741366,-6.910578213826511
1.0,balanced,4,2,poly,0.9999520581438831,0.9990028189541105,-9.945521612208678,-6.910578213826511
10.0,,4,1,poly,0.9999616465151064,0.9989836423955357,-10.16866516352173,-6.891530018855863
0.1,,5,1,poly,0.9999472639582714,0.9989836423955357,-9.850211432403722,-6.891530018855863
1.0,,4,2,poly,0.9999712348863299,0.9989836423955357,-10.456347235975441,-6.891530018855863
0.01,balanced,5,2,poly,0.9999424697726598,0.9989836423955357,-9.763200055415496,-6.891530018855863
0.1,,4,3,poly,0.9999664407007182,0.9989644658369609,-10.302196556147079,-6.872837885843648
1.0,,4,3,poly,0.9999808232575532,0.9989644658369609,-10.861812344081676,-6.872837885843648
0.01,,2,2,poly,0.9989165140517581,0.9989452892783861,-6.827571705930356,-6.8544887471754965
10.0,,5,3,poly,0.9999952058143883,0.9989261127198114,-12.248106705195777,-6.8364702416728615
0.1,balanced,5,2,poly,0.9999808232575532,0.9989261127198114,-10.861812344081676,-6.8364702416728615
0.1,,5,3,poly,0.9999952058143883,0.9989261127198114,-12.248106705195777,-6.8364702416728615
10.0,,3,auto,poly,0.9989836326503216,0.9989261127198114,-6.891520430530536,-6.8364702416728615
10.0,,4,2,poly,0.9999616465151064,0.9989261127198114,-10.16866516352173,-6.8364702416728615
1.0,,5,3,poly,0.9999952058143883,0.9989261127198114,-12.248106705195777,-6.8364702416728615
0.01,,5,2,poly,0.9999664407007182,0.9989261127198114,-10.302196556147079,-6.8364702416728615
0.1,balanced,5,3,poly,0.9999952058143883,0.9989069361612365,-12.248106705195777,-6.8187706645734005
10.0,,5,auto,poly,0.9990507512488853,0.9989069361612365,-6.959839674508025,-6.8187706645734005
0.1,balanced,3,3,poly,0.9994151093553738,0.9989069361612365,-7.444085660469353,-6.8187706645734005
10.0,balanced,5,3,poly,0.9999952058143883,0.9989069361612365,-12.248106705195777,-6.8187706645734005
10.0,,2,auto,poly,0.9988254245251359,0.9989069361612365,-6.746848494657855,-6.8187706645734005
10.0,,4,auto,poly,0.9990603396201088,0.9989069361612365,-6.969992045972112,-6.8187706645734005
10.0,balanced,4,2,poly,0.9999760290719415,0.9989069361612365,-10.638668792766307,-6.8187706645734005
1.0,balanced,5,3,poly,0.9999952058143883,0.9989069361612365,-12.248106705195777,-6.8187706645734005
0.1,,5,2,poly,0.9999952058143883,0.9988685830440869,-12.248106705195777,-6.784284488502216
0.01,,5,3,poly,0.9999904116287767,0.9988685830440869,-11.55495952464741,-6.784284488502216
1.0,balanced,3,1,poly,0.9992473128589646,0.9988302299269373,-7.1918608998542535,-6.750948068234609
10.0,,5,1,poly,0.9999808232575532,0.9988110533683625,-10.861812344081676,-6.734687547362869
0.01,,2,1,poly,0.9987583059265722,0.9987918768097878,-6.691278643503034,-6.718687206016466
10.0,balanced,5,1,poly,0.9999904116287767,0.9987535236926381,-11.55495952464741,-6.687434662512346
0.1,balanced,3,2,poly,0.9992041651884594,0.9987535236926381,-7.136118916846069,-6.687434662512346
1.0,,5,2,poly,0.9999520581438831,0.9987151705754885,-9.945521612208678,-6.657129313017003
10.0,,5,2,poly,0.9999520581438831,0.9987151705754885,-9.945521612208678,-6.657129313017003
0.01,balanced,4,1,poly,0.9991658117035659,0.9986959940169138,-7.089051405988035,-6.642314227231898
10.0,balanced,4,3,poly,0.9997075546776869,0.9986959940169138,-8.137232841029299,-6.642314227231898
10.0,,4,3,poly,0.9994822279539375,0.9986768174583389,-7.5659754780784185,-6.627715427810696
1.0,balanced,5,2,poly,0.9998897337309312,0.9986576408997642,-9.112612489273674,-6.6133266903586305
10.0,balanced,5,2,poly,0.9998897337309312,0.9986576408997642,-9.112612489273674,-6.6133266903586305
1.0,,3,auto,poly,0.9985425675740462,0.9985042284311657,-6.53107900379641,-6.5051131057183476
1.0,,4,auto,poly,0.9985905094301631,0.998485051872591,-6.564526937863947,-6.492374079940949
0.01,balanced,3,3,poly,0.9989308966085931,0.9984466987554413,-6.840934933742512,-6.46737277773552
1.0,,2,auto,poly,0.9985233908315995,0.9984466987554413,-6.518006922229044,-6.46737277773552
10.0,,5,2,linear,0.9982549164373448,0.9983508159625674,-6.350952837565843,-6.407474636154457
10.0,,5,3,linear,0.9982549164373448,0.9983508159625674,-6.350952837565843,-6.407474636154457
10.0,,2,2,linear,0.9982549164373448,0.9983508159625674,-6.350952837565843,-6.407474636154457
10.0,,2,3,linear,0.9982549164373448,0.9983508159625674,-6.350952837565843,-6.407474636154457
10.0,,3,1,linear,0.9982549164373448,0.9983508159625674,-6.350952837565843,-6.407474636154457
10.0,,2,auto,linear,0.9982549164373448,0.9983508159625674,-6.350952837565843,-6.407474636154457
10.0,,4,auto,linear,0.9982549164373448,0.9983508159625674,-6.350952837565843,-6.407474636154457
10.0,,3,2,linear,0.9982549164373448,0.9983508159625674,-6.350952837565843,-6.407474636154457
10.0,,5,1,linear,0.9982549164373448,0.9983508159625674,-6.350952837565843,-6.407474636154457
10.0,,3,3,linear,0.9982549164373448,0.9983508159625674,-6.350952837565843,-6.407474636154457
10.0,,3,auto,linear,0.9982549164373448,0.9983508159625674,-6.350952837565843,-6.407474636154457
10.0,,4,1,linear,0.9982549164373448,0.9983508159625674,-6.350952837565843,-6.407474636154457
10.0,,4,2,linear,0.9982549164373448,0.9983508159625674,-6.350952837565843,-6.407474636154457
10.0,,4,3,linear,0.9982549164373448,0.9983508159625674,-6.350952837565843,-6.407474636154457
10.0,,1,1,linear,0.9982549164373448,0.9983508159625674,-6.350952837565843,-6.407474636154457
10.0,,2,1,linear,0.9982549164373448,0.9983508159625674,-6.350952837565843,-6.407474636154457
10.0,,1,1,poly,0.9982549164373448,0.9983508159625674,-6.350952837565843,-6.407474636154457
10.0,,5,auto,linear,0.9982549164373448,0.9983508159625674,-6.350952837565843,-6.407474636154457
10.0,,1,2,linear,0.9982549164373448,0.9983508159625674,-6.350952837565843,-6.407474636154457
10.0,,1,2,poly,0.9982453280661214,0.9983508159625674,-6.345473371801243,-6.407474636154457
1.0,,1,3,poly,0.9982549164373448,0.9983508159625674,-6.350952837565843,-6.407474636154457
10.0,,1,3,linear,0.9982549164373448,0.9983508159625674,-6.350952837565843,-6.407474636154457
10.0,,1,3,poly,0.9982453280661214,0.9983508159625674,-6.345473371801243,-6.407474636154457
10.0,,1,auto,linear,0.9982549164373448,0.9983508159625674,-6.350952837565843,-6.407474636154457
1.0,,5,auto,poly,0.9985905094301631,0.9983316394039926,-6.564526937863947,-6.395913813753409
1.0,,1,2,poly,0.9982645048085682,0.9983316394039926,-6.35646249337685,-6.395913813753409
1.0,,5,1,linear,0.9982405338805097,0.998293286286843,-6.342744857148021,-6.373185562675841
1.0,,1,1,poly,0.9982405338805097,0.998293286286843,-6.342744857148021,-6.373185562675841
1.0,,1,auto,linear,0.9982405338805097,0.998293286286843,-6.342744857148021,-6.373185562675841
1.0,,4,auto,linear,0.9982405338805097,0.998293286286843,-6.342744857148021,-6.373185562675841
1.0,,2,1,linear,0.9982405338805097,0.998293286286843,-6.342744857148021,-6.373185562675841
1.0,,5,2,linear,0.9982405338805097,0.998293286286843,-6.342744857148021,-6.373185562675841
1.0,,1,2,linear,0.9982405338805097,0.998293286286843,-6.342744857148021,-6.373185562675841
1.0,,4,1,linear,0.9982405338805097,0.998293286286843,-6.342744857148021,-6.373185562675841
1.0,,3,1,linear,0.9982405338805097,0.998293286286843,-6.342744857148021,-6.373185562675841
0.1,balanced,3,1,poly,0.998624068729445,0.998293286286843,-6.5886244894430135,-6.373185562675841
1.0,,2,2,linear,0.9982405338805097,0.998293286286843,-6.342744857148021,-6.373185562675841
1.0,,3,2,linear,0.9982405338805097,0.998293286286843,-6.342744857148021,-6.373185562675841
1.0,,4,3,linear,0.9982405338805097,0.998293286286843,-6.342744857148021,-6.373185562675841
1.0,,2,3,linear,0.9982405338805097,0.998293286286843,-6.342744857148021,-6.373185562675841
1.0,,4,2,linear,0.9982405338805097,0.998293286286843,-6.342744857148021,-6.373185562675841
1.0,,3,3,linear,0.9982405338805097,0.998293286286843,-6.342744857148021,-6.373185562675841
1.0,,3,auto,linear,0.9982405338805097,0.998293286286843,-6.342744857148021,-6.373185562675841
1.0,,1,3,linear,0.9982405338805097,0.998293286286843,-6.342744857148021,-6.373185562675841
