C,class_weight,degree,gamma,kernel,accuracy_tr,accuracy_val,log_accuracy_tr,log_accuracy_val
1.0,balanced,2,2,poly,0.99400723925498,0.9933601802579223,-5.117203080709154,-5.01467046313974
0.01,balanced,3,1,poly,0.9929824771675816,0.992976652763795,-4.959344996093571,-4.958515360310003
0.1,balanced,2,2,poly,0.9930723685787569,0.9929287118270291,-4.972237310458969,-4.951712612987257
0.1,balanced,2,1,poly,0.9917060191288923,0.9915144541924349,-4.7922252235136735,-4.769391056193295
0.01,balanced,2,3,poly,0.9915681856317569,0.991490483724052,-4.775743302576898,-4.766570179851663
0.01,balanced,2,1,poly,0.9906033511518086,0.9907473992041804,-4.667402158780934,-4.682850599862239
0.01,balanced,2,2,poly,0.9907591629311792,0.9905796059254998,-4.684122805568012,-4.664878357457809
1.0,balanced,2,auto,poly,0.9892370017019441,0.9895249053166499,-4.53164111082914,-4.558754774231487
1.0,balanced,3,auto,poly,0.9888894215787329,0.9892372596960545,-4.499857613565489,-4.531665081584819
1.0,balanced,2,1,linear,0.9873432893065177,0.9876312383143967,-4.369567714865131,-4.392581203845513
1.0,balanced,2,3,linear,0.9873432893065177,0.9876312383143967,-4.369567714865131,-4.392581203845513
1.0,balanced,1,1,poly,0.9873432893065177,0.9876312383143967,-4.369567714865131,-4.392581203845513
1.0,balanced,1,2,linear,0.9873432893065177,0.9876312383143967,-4.369567714865131,-4.392581203845513
1.0,balanced,1,3,linear,0.9873432893065177,0.9876312383143967,-4.369567714865131,-4.392581203845513
1.0,balanced,1,auto,linear,0.9873432893065177,0.9876312383143967,-4.369567714865131,-4.392581203845513
1.0,balanced,2,2,linear,0.9873432893065177,0.9876312383143967,-4.369567714865131,-4.392581203845513
1.0,balanced,1,1,linear,0.9873432893065177,0.9876312383143967,-4.369567714865131,-4.392581203845513
1.0,balanced,2,auto,linear,0.9873432893065177,0.9876312383143967,-4.369567714865131,-4.392581203845513
1.0,balanced,3,1,linear,0.9873432893065177,0.9876312383143967,-4.369567714865131,-4.392581203845513
1.0,balanced,3,2,linear,0.9873432893065177,0.9876312383143967,-4.369567714865131,-4.392581203845513
1.0,balanced,3,3,linear,0.9873432893065177,0.9876312383143967,-4.369567714865131,-4.392581203845513
1.0,balanced,3,auto,linear,0.9873432893065177,0.9876312383143967,-4.369567714865131,-4.392581203845513
1.0,balanced,1,2,poly,0.9873612675887528,0.9875113859724819,-4.370989179212507,-4.382937927573705
1.0,balanced,1,3,poly,0.9872234340916173,0.9872956517570354,-4.360142574405545,-4.365810962780909
0.1,balanced,1,3,poly,0.9867320277105257,0.9869840356680569,-4.322402246422704,-4.341578649393135
0.1,balanced,1,2,poly,0.9866900783853105,0.9866963900474616,-4.319245535796856,-4.319719855580641
0.1,balanced,3,2,linear,0.9866721001030755,0.9866244786423126,-4.3178957043208115,-4.314329006945758
0.1,balanced,3,3,linear,0.9866721001030755,0.9866244786423126,-4.3178957043208115,-4.314329006945758
0.1,balanced,1,1,linear,0.9866721001030755,0.9866244786423126,-4.3178957043208115,-4.314329006945758
0.1,balanced,2,1,linear,0.9866721001030755,0.9866244786423126,-4.3178957043208115,-4.314329006945758
0.1,balanced,2,2,linear,0.9866721001030755,0.9866244786423126,-4.3178957043208115,-4.314329006945758
0.1,balanced,2,3,linear,0.9866721001030755,0.9866244786423126,-4.3178957043208115,-4.314329006945758
0.1,balanced,1,auto,linear,0.9866721001030755,0.9866244786423126,-4.3178957043208115,-4.314329006945758
0.1,balanced,1,3,linear,0.9866721001030755,0.9866244786423126,-4.3178957043208115,-4.314329006945758
0.1,balanced,1,2,linear,0.9866721001030755,0.9866244786423126,-4.3178957043208115,-4.314329006945758
0.1,balanced,1,1,poly,0.9866721001030755,0.9866244786423126,-4.3178957043208115,-4.314329006945758
0.1,balanced,2,auto,linear,0.9866721001030755,0.9866244786423126,-4.3178957043208115,-4.314329006945758
0.1,balanced,3,1,linear,0.9866721001030755,0.9866244786423126,-4.3178957043208115,-4.314329006945758
0.1,balanced,3,auto,linear,0.9866721001030755,0.9866244786423126,-4.3178957043208115,-4.314329006945758
1.0,balanced,1,auto,poly,0.986234628568689,0.9862169806798025,-4.285599157002188,-4.28431792852972
0.01,balanced,1,3,poly,0.9861507299182587,0.9859293350592071,-4.2795227494169,-4.26366314949898
0.01,balanced,1,2,poly,0.9859769398566531,0.9858334531856753,-4.267052151339535,-4.256871951920977
0.1,balanced,2,auto,poly,0.9857671932305775,0.9858334531856753,-4.252205643222545,-4.256871951920977
0.01,balanced,1,2,linear,0.9848263297936093,0.9846349297665277,-4.188193576427215,-4.175658512406405
0.01,balanced,1,1,poly,0.9848263297936093,0.9846349297665277,-4.188193576427215,-4.175658512406405
0.01,balanced,1,1,linear,0.9848263297936093,0.9846349297665277,-4.188193576427215,-4.175658512406405
0.01,balanced,1,3,linear,0.9848263297936093,0.9846349297665277,-4.188193576427215,-4.175658512406405
0.01,balanced,3,2,linear,0.9848263297936093,0.9846349297665277,-4.188193576427215,-4.175658512406405
0.01,balanced,1,auto,linear,0.9848263297936093,0.9846349297665277,-4.188193576427215,-4.175658512406405
0.01,balanced,3,1,linear,0.9848263297936093,0.9846349297665277,-4.188193576427215,-4.175658512406405
0.01,balanced,3,auto,linear,0.9848263297936093,0.9846349297665277,-4.188193576427215,-4.175658512406405
0.01,balanced,3,3,linear,0.9848263297936093,0.9846349297665277,-4.188193576427215,-4.175658512406405
0.01,balanced,2,2,linear,0.9848263297936093,0.9846349297665277,-4.188193576427215,-4.175658512406405
0.01,balanced,2,3,linear,0.9848263297936093,0.9846349297665277,-4.188193576427215,-4.175658512406405
0.01,balanced,2,auto,linear,0.9848263297936093,0.9846349297665277,-4.188193576427215,-4.175658512406405
0.01,balanced,2,1,linear,0.9848263297936093,0.9846349297665277,-4.188193576427215,-4.175658512406405
0.1,balanced,1,auto,poly,0.9844487858666731,0.984467136487847,-4.163616564091296,-4.1647972729748
0.1,balanced,3,auto,poly,0.9837835894239758,0.9837959633731244,-4.12173155096055,-4.122494893284112
0.01,balanced,3,auto,poly,0.9808950787448761,0.9811352413826167,-3.957809319781176,-3.9704597209096715
0.01,balanced,2,auto,poly,0.9775810820528801,0.9772040845678125,-3.7978501253431363,-3.7811739067816843
0.01,balanced,1,auto,poly,0.9759810149339597,0.9757179155280694,-3.728910716926581,-3.718016465078389
