class_weight,criterion,max_depth,accuracy_tr,accuracy_val,log_accuracy_tr,log_accuracy_val
balanced,entropy,,0.9999952058143883,0.9995972922699292,-12.248106705195777,-7.817299494684484
balanced,gini,,0.9999952058143883,0.9995781157113545,-12.248106705195777,-7.770779479049704
balanced,entropy,20.0,0.9997794674618623,0.9994822329184805,-8.419465308713729,-7.565985066403701
balanced,entropy,19.0,0.9995924942230063,0.9992904673327324,-7.805455448712271,-7.25090401976366
balanced,entropy,18.0,0.9995301698100544,0.999232937657008,-7.663139226532057,-7.172942478293992
balanced,entropy,17.0,0.9993863442417037,0.9991178783055593,-7.396076441283034,-7.033180535918902
balanced,entropy,16.0,0.9990603396201088,0.9987918768097878,-6.969992045972112,-6.718687206016466
balanced,entropy,15.0,0.9989884268359334,0.9987727002512129,-6.896248571726515,-6.702938849048274
balanced,gini,20.0,0.9993240198287517,0.9987151705754885,-7.299346814824506,-6.657129313017003
balanced,gini,19.0,0.9992233419309062,0.9986384643411893,-7.160510369970254,-6.5991420553666265
balanced,gini,18.0,0.9989740442790983,0.9985425815483153,-6.882130690180742,-6.53108859212162
balanced,entropy,14.0,0.9987487175553489,0.9984658753140161,-6.6835862978799145,-6.4797952977340465
balanced,gini,17.0,0.9986432454718916,0.9982549331696934,-6.602659807559331,-6.350962425891121
balanced,gini,15.0,0.9983699768920253,0.9980248144667958,-6.41916108759238,-6.227092944178335
balanced,gini,16.0,0.9981686210963344,0.9979864613496462,-6.302686096596052,-6.207861582250439
balanced,entropy,13.0,0.9982884757366266,0.9979289316739218,-6.370370923422948,-6.179690705283757
balanced,entropy,12.0,0.9981158850546058,0.9976796364124494,-6.274297093333351,-6.066031386811207
balanced,entropy,11.0,0.9976364664934367,0.9972193990066542,-6.047597531159897,-5.885088189987378
balanced,entropy,10.0,0.9962653294084933,0.9960879820507412,-5.590095659331836,-5.54370193856376
balanced,gini,14.0,0.9956996155063139,0.9955702149692216,-5.449050843143796,-5.419404221886164
balanced,gini,13.0,0.9947791318688695,0.9946880932747809,-5.255091582269642,-5.237804426220626
balanced,gini,12.0,0.9943140958645355,0.9943812683375841,-5.16976512564492,-5.181649323390891
balanced,gini,11.0,0.9938298831177548,0.9940552668418126,-5.088037497606469,-5.125249634928768
balanced,gini,10.0,0.9928278983249116,0.9931923217059466,-4.937556546668181,-4.989704142932543
