class_weight,criterion,max_depth,accuracy_val,std_accuracy_val,log_accuracy_val
balanced,gini,,0.9992483456793394,0.00016081525718152214,7.193234019672269
balanced,gini,50.0,0.9992483456793394,0.00016081525718152214,7.193234019672269
balanced,gini,40.0,0.9992483456793394,0.00016081525718152214,7.193234019672269
balanced,gini,35.0,0.9992483456793394,0.00016081525718152214,7.193234019672269
balanced,gini,26.0,0.9992290722862585,0.00014047314671688165,7.167915945292413
balanced,gini,28.0,0.9992194355897182,0.0001727867026764199,7.1554932970295635
balanced,gini,24.0,0.9991519785978555,0.00013577209581330714,7.072604684112951
balanced,gini,22.0,0.9990363385876092,0.00015464288919504697,6.944770557009878
balanced,gini,20.0,0.9988291518175025,9.945819303668045e-05,6.750026850510694
balanced,gini,18.0,0.998549688546467,0.00025287212990401464,6.535976950074895
balanced,gini,16.0,0.9981208596132042,0.00026742334169665494,6.276940847772905
balanced,gini,14.0,0.99748966376714,0.00043026500891891974,5.987338577495179
balanced,gini,12.0,0.9968488272778284,0.0007702518205937572,5.759980602675465
balanced,gini,10.0,0.9954756111378128,0.0013080243774342213,5.398272769031588
balanced,gini,8.0,0.9933796565707382,0.0021371293822053617,5.017608032846824
balanced,gini,6.0,0.989231097944991,0.003536974309583697,4.531092737763668
balanced,gini,4.0,0.9870579883994826,0.006936290053652628,4.3472765460008835
balanced,gini,2.0,0.9513542269098046,0.02270101735632339,3.0231903581906336
