class_weight,dropout_rate,l2_alpha,number_of_hidden_layers,sgd_learnrate,accuracy_tr,accuracy_val,log_accuracy_tr,log_accuracy_val
[ 0.50283981 88.53395586],0.2,0.0,50,0.002,0.9989222288131714,0.9991447329521179,-6.832860086141376,-7.0640968010902805
,0.1,0.0,40,0.002,0.9990085363388062,0.9991409063339234,-6.9163282610100545,-7.059632601090295
[ 0.50283981 88.53395586],0.2,0.0,60,0.0008,0.9989347457885742,0.9991217136383057,-6.844541812129705,-7.037537865233845
,0.1,0.0,55,0.002,0.999099612236023,0.9991140365600586,-7.012685038565294,-7.028834872385068
[ 0.50283981 88.53395586],0.1,0.0,60,0.002,0.9990345239639282,0.9991102099418641,-6.942889276629752,-7.024525012799345
[ 0.50283981 88.53395586],0.1,0.0,40,0.001,0.9989922642707825,0.9991025447845459,-6.900049317101721,-7.015947338062284
,0.2,0.0,60,0.0008,0.9989463090896606,0.9990987062454224,-6.855456125817794,-7.011679321775089
[ 0.50283981 88.53395586],0.1,0.0,50,0.001,0.9990142583847046,0.9990987062454224,-6.922116291156575,-7.011679321775089
,0.1,0.0,60,0.0008,0.9990229606628418,0.9990987062454224,-6.930983643519951,-7.011679321775089
,0.2,0.0,50,0.002,0.9989702105522156,0.9990948677062989,-6.878400917263906,-7.007429444062484
[ 0.50283981 88.53395586],0.2,0.0,60,0.001,0.9989529848098755,0.9990948677062989,-6.861811838961625,-7.007429444062484
,0.1,0.0,60,0.002,0.9990785717964172,0.9990910410881042,-6.9895856964423535,-7.003210666243178
[ 0.50283981 88.53395586],0.2,0.0,45,0.001,0.9989184141159058,0.9990910291671753,-6.829326903709113,-7.0031975514031295
[ 0.50283981 88.53395586],0.1,0.0,20,0.002,0.9987698793411255,0.9990872025489808,-6.700643017763028,-6.998996551905799
[ 0.50283981 88.53395586],0.1,0.0,60,0.0008,0.9989903569221497,0.9990872025489808,-6.898158398852305,-6.998996551905799
[ 0.50283981 88.53395586],0.1,0.0,60,0.001,0.9990383386611938,0.9990872025489808,-6.946848207941768,-6.998996551905799
[ 0.50283981 88.53395586],0.1,0.0,55,0.002,0.999060332775116,0.9990833640098572,-6.969984761459526,-6.994800121830506
[ 0.50283981 88.53395586],0.1,0.0,50,0.0008,0.9989941716194153,0.9990756988525391,-6.901943817697957,-6.986472622256583
[ 0.50283981 88.53395586],0.1,0.0,40,0.002,0.9989951252937317,0.999068021774292,-6.902892415622886,-6.978201106525842
[ 0.50283981 88.53395586],0.2,0.0,55,0.002,0.998936653137207,0.999068021774292,-6.846333927304687,-6.978201106525842
,0.2,0.0,60,0.002,0.9989309310913086,0.9990641951560975,-6.840967188126746,-6.97410360332997
[ 0.50283981 88.53395586],0.2,0.0,45,0.002,0.9989040493965149,0.9990641832351684,-6.816133161284846,-6.974090864719809
,0.2,0.0,60,0.001,0.9989376068115234,0.9990603446960449,-6.8472311907116765,-6.96999744787043
,0.1,0.0,55,0.0008,0.9990526437759399,0.9990565180778503,-6.961835374938563,-6.965933353752949
[ 0.50283981 88.53395586],0.2,0.0,50,0.0008,0.9989174604415894,0.9990526795387268,-6.828445555188914,-6.961873125745467
,0.1,0.0,50,0.0008,0.998975932598114,0.9990488409996032,-6.883972932376721,-6.957829316547811
,0.1,0.0,50,0.001,0.9989768862724304,0.9990488409996032,-6.884904627546895,-6.957829316547811
,0.1,0.0,20,0.002,0.9988877177238464,0.9990450143814087,-6.801341269905215,-6.953814276663626
[ 0.50283981 88.53395586],0.1,0.0,55,0.001,0.9990718960762024,0.9990450143814087,-6.982366844597263,-6.953814276663626
[ 0.50283981 88.53395586],0.1,0.0,25,0.002,0.9988753199577332,0.9990450143814087,-6.790256690650973,-6.953814276663626
,0.1,0.0,40,0.001,0.9989808201789856,0.9990450024604798,-6.888757072190095,-6.953801793905481
[ 0.50283981 88.53395586],0.2,0.0,55,0.001,0.9989740252494812,0.9990450024604798,-6.882112142167181,-6.953801793905481
[ 0.50283981 88.53395586],0.1,0.0,50,0.002,0.9990066289901733,0.9990450024604798,-6.914406338496535,-6.953801793905481
