class_weight,dropout_rate,l2_alpha,number_of_hidden1_layers,number_of_hidden2_layers,sgd_learnrate,accuracy_tr,accuracy_val,log_accuracy_tr,log_accuracy_val
,0.0,0.0,40,80,0.001,0.9988714456558228,0.9986321449279785,6.786817806749851,6.5945114068987065
[0.82543067 1.26821278],0.0,0.0,40,40,0.001,0.9987760782241821,0.9985030055046081,6.705695005579777,6.504295850644347
,0.0,0.0,40,80,0.01,0.9986673593521118,0.998414933681488,6.620592855608416,6.4471290311957485
,0.2,0.0,40,40,0.001,0.9983283877372742,0.9984090566635132,6.39396669149625,6.4434281452910165
[0.82543067 1.26821278],0.0,0.0,40,80,0.001,0.9989388585090637,0.9983914613723754,6.848410072033825,6.43242919688622
[0.82543067 1.26821278],0.0,0.0,40,80,0.01,0.9987231492996216,0.9983797073364258,6.663358623114113,6.425148489526975
[0.82543067 1.26821278],0.1,0.0,40,80,0.001,0.9985044598579407,0.9983503460884094,6.505267838355929,6.407189763621551
[0.82543067 1.26821278],0.0,0.0,20,40,0.001,0.9986702799797058,0.9983327507972717,6.6227868699660375,6.396580194647615
,0.1,0.0,40,40,0.001,0.9985147714614868,0.9983268737792969,6.512186620579879,6.3930614140952144
[0.82543067 1.26821278],0.2,0.0,40,80,0.001,0.9982579350471497,0.9983268737792969,6.352684114880503,6.3930614140952144
[0.82543067 1.26821278],0.1,0.0,20,80,0.001,0.9982579350471497,0.9983268737792969,6.352684114880503,6.3930614140952144
[0.82543067 1.26821278],0.1,0.0,40,40,0.001,0.9985294342041016,0.9983268737792969,6.522108057075632,6.3930614140952144
,0.1,0.0,40,80,0.001,0.9985000491142273,0.998320996761322,6.502322914228227,6.389554971955908
[0.82543067 1.26821278],0.1,0.0,40,40,0.01,0.9982651472091675,0.9983092546463013,6.356832715965416,6.382585809584135
,0.2,0.0,40,80,0.001,0.9982946515083313,0.9982916355133057,6.373985795191666,6.3722188066783065
,0.0,0.0,20,40,0.001,0.9985631108283997,0.9982857704162598,6.5452747997027085,6.368791521603704
,0.1,0.0,40,40,0.01,0.9983283281326294,0.9982505559921264,6.393931035152091,6.348457251313687
,0.0,0.0,20,80,0.001,0.998663067817688,0.9982388257980347,6.617377705924434,6.34177453217695
,0.0,0.0,40,40,0.01,0.9986468553543091,0.9982388138771057,6.605324028123403,6.341767763460566
,0.0,0.0,40,40,0.001,0.9988009333610535,0.9982329368591308,6.7262118257101156,6.3384363529105245
[0.82543067 1.26821278],0.0,0.0,40,0,0.001,0.9985836744308472,0.9981977105140686,6.559689388420455,6.318697485677577
,0.1,0.0,20,80,0.001,0.9982094764709473,0.9981918454170227,6.325247227560617,6.315448521232652
,0.0,0.0,20,40,0.01,0.9985485076904297,0.9981918334960938,6.535163072777275,6.315441928383939
[0.82543067 1.26821278],0.0,0.0,40,40,0.01,0.9987143278121948,0.9981859683990478,6.656473594055486,6.312203506849876
