C,class_weight,degree,gamma,kernel,accuracy_val,std_accuracy_val,log_accuracy_val
1.0,,3,auto,linear,0.9983364182361394,0.00012371467469213915,-6.398782312009043
1.0,,3,1,linear,0.9983364182361394,0.00012371467469213915,-6.398782312009043
1.0,,3,2,linear,0.9983364182361394,0.00012371467469213915,-6.398782312009043
1.0,,4,1,linear,0.9983364182361394,0.00012371467469213915,-6.398782312009043
1.0,,4,2,linear,0.9983364182361394,0.00012371467469213915,-6.398782312009043
1.0,,4,3,linear,0.9983364182361394,0.00012371467469213915,-6.398782312009043
1.0,,4,auto,linear,0.9983364182361394,0.00012371467469213915,-6.398782312009043
1.0,,5,1,linear,0.9983364182361394,0.00012371467469213915,-6.398782312009043
1.0,,5,2,linear,0.9983364182361394,0.00012371467469213915,-6.398782312009043
1.0,,5,3,linear,0.9983364182361394,0.00012371467469213915,-6.398782312009043
1.0,,5,auto,linear,0.9983364182361394,0.00012371467469213915,-6.398782312009043
1.0,,3,3,linear,0.9983364182361394,0.00012371467469213915,-6.398782312009043
0.5,,4,3,linear,0.9983316239126239,0.00011098587357345775,-6.395904528412543
0.5,,5,auto,linear,0.9983316239126239,0.00011098587357345775,-6.395904528412543
0.5,,5,3,linear,0.9983316239126239,0.00011098587357345775,-6.395904528412543
0.5,,5,2,linear,0.9983316239126239,0.00011098587357345775,-6.395904528412543
0.5,,3,1,linear,0.9983316239126239,0.00011098587357345775,-6.395904528412543
0.5,,5,1,linear,0.9983316239126239,0.00011098587357345775,-6.395904528412543
0.5,,4,auto,linear,0.9983316239126239,0.00011098587357345775,-6.395904528412543
0.5,,3,2,linear,0.9983316239126239,0.00011098587357345775,-6.395904528412543
0.5,,4,2,linear,0.9983316239126239,0.00011098587357345775,-6.395904528412543
0.5,,4,1,linear,0.9983316239126239,0.00011098587357345775,-6.395904528412543
0.5,,3,3,linear,0.9983316239126239,0.00011098587357345775,-6.395904528412543
0.5,,3,auto,linear,0.9983316239126239,0.00011098587357345775,-6.395904528412543
0.8,,5,1,linear,0.9983124473080787,0.00010994302542859916,-6.384475910862802
0.8,,5,auto,linear,0.9983124473080787,0.00010994302542859916,-6.384475910862802
0.8,,5,3,linear,0.9983124473080787,0.00010994302542859916,-6.384475910862802
0.8,,5,2,linear,0.9983124473080787,0.00010994302542859916,-6.384475910862802
0.8,,4,3,linear,0.9983124473080787,0.00010994302542859916,-6.384475910862802
0.8,,4,auto,linear,0.9983124473080787,0.00010994302542859916,-6.384475910862802
0.8,,3,2,linear,0.9983124473080787,0.00010994302542859916,-6.384475910862802
0.8,,4,2,linear,0.9983124473080787,0.00010994302542859916,-6.384475910862802
