class_weight,dropout_rate,l2_alpha,number_of_hidden_layers,sgd_learnrate,accuracy_tr,accuracy_val,log_accuracy_tr,log_accuracy_val
[ 0.50283981 88.53395586],0.1,0.0,20,0.001,0.9986173510551453,0.9987343549728394,-6.583754094490417,-6.672173383865169
,0.1,0.0,25,0.002,0.9987564086914062,0.9987343430519104,-6.689751868712308,-6.67216396505301
[ 0.50283981 88.53395586],0.1,0.0,45,0.0008,0.9987697601318359,0.9987305164337158,-6.700546113843188,-6.669145101933497
[ 0.50283981 88.53395586],0.2,0.0,40,0.002,0.9986758232116699,0.9987266778945922,-6.626964304452052,-6.666125962813237
,0.2,0.0,60,0.0008,0.9988004565238953,0.9987189888954162,-6.725814231151923,-6.66010558742144
,0.2,0.0,40,0.0008,0.9986575841903687,0.9987151741981506,-6.6132844451817165,-6.657132132587521
,0.1,0.0,40,0.002,0.9987879991531372,0.9987151741981506,-6.715482692603581,-6.657132132587521
[ 0.50283981 88.53395586],0.2,0.0,60,0.0008,0.9987602233886719,0.9987113356590271,-6.692824067749278,-6.654148991594508
[ 0.50283981 88.53395586],0.2,0.0,45,0.001,0.9986950159072876,0.9987074971199036,-6.641564427774185,-6.651174723269733
,0.2,0.0,45,0.002,0.9987065196037292,0.9987074971199036,-6.650418712022614,-6.651174723269733
,0.2,0.0,45,0.0008,0.9987266659736633,0.9987036466598511,-6.666116600788453,-6.648200079207547
,0.2,0.0,60,0.001,0.9987496137619019,0.9986998319625855,-6.684302784917138,-6.645261763318321
,0.1,0.0,60,0.002,0.9989059567451477,0.9986998319625855,-6.817875037507752,-6.645261763318321
,0.2,0.0,20,0.001,0.9984639286994934,0.9986998319625855,-6.478527225733367,-6.645261763318321
,0.1,0.0,45,0.001,0.9988004565238953,0.9986998200416565,-6.725814231151923,-6.645252594600103
,0.2,0.0,50,0.001,0.998695969581604,0.9986960053443908,-6.642295488758951,-6.642322913945313
[ 0.50283981 88.53395586],0.2,0.0,45,0.0008,0.9986826181411743,0.9986959934234619,-6.63210895228996,-6.642313772132983
,0.1,0.0,55,0.001,0.9988455772399902,0.9986921548843384,-6.764154834820793,-6.639374446061251
,0.1,0.0,40,0.0008,0.9987372159957886,0.9986921548843384,-6.674436468282246,-6.639374446061251
[ 0.50283981 88.53395586],0.1,0.0,40,0.0008,0.9987516403198242,0.9986845016479492,-6.685924845289006,-6.633539710201698
,0.1,0.0,25,0.001,0.9987353086471558,0.9986768126487732,-6.672927176419471,-6.627711792970564
,0.2,0.0,45,0.001,0.9987286329269409,0.9986691474914551,-6.667662521973291,-6.621935558222529
[ 0.50283981 88.53395586],0.1,0.0,25,0.0008,0.9987285733222961,0.9986653089523315,-6.667615640746869,-6.619055438880245
,0.2,0.0,25,0.002,0.9985665082931519,0.998661482334137,-6.54764205790478,-6.616192496836936
[ 0.50283981 88.53395586],0.2,0.0,25,0.0008,0.9986029863357544,0.998653793334961,-6.57341841762014,-6.610464519397808
[ 0.50283981 88.53395586],0.2,0.0,25,0.001,0.998609721660614,0.9986499667167663,-6.578251307723143,-6.607626032588534
[ 0.50283981 88.53395586],0.2,0.0,25,0.002,0.9986211657524109,0.9986461281776429,-6.586516884937617,-6.60478677488369
,0.1,0.0,25,0.0008,0.9987362027168274,0.9986384749412537,-6.673634373356137,-6.59914984077098
[ 0.50283981 88.53395586],0.1,0.0,45,0.002,0.9988541603088379,0.9986384510993958,-6.771617556022383,-6.599132329782818
[ 0.50283981 88.53395586],0.1,0.0,45,0.001,0.9987611770629883,0.9986346125602722,-6.6935935945283065,-6.596317051991348
,0.2,0.0,25,0.0008,0.9985837936401367,0.9986307859420777,-6.559773559962106,-6.593518384108292
,0.2,0.0,20,0.002,0.9985483288764954,0.9986116051673889,-6.535039887198044,-6.5796069958136565
[ 0.50283981 88.53395586],0.1,0.0,25,0.001,0.9987622499465942,0.9986001133918763,-6.694460020575288,-6.571364039838463
[ 0.50283981 88.53395586],0.2,0.0,40,0.0008,0.9986365437507629,0.9986001014709472,-6.597732443294966,-6.5713555242357025
[ 0.50283981 88.53395586],0.2,0.0,20,0.002,0.9984811544418335,0.9985655784606934,-6.489804733897361,-6.546993619537754
