class_weight,criterion,max_depth,accuracy_tr,accuracy_val,log_accuracy_tr,log_accuracy_val
balanced,gini,24.0,0.9998915878168798,0.9991327182056904,9.12957008486642,7.050146611720269
balanced,gini,22.0,0.9998434046243819,0.9990604447228312,8.761845304740945,6.9701039040466535
balanced,gini,26.0,0.9999397710093777,0.9990604447228312,9.717356749768948,6.9701039040466535
balanced,gini,,1.0,0.9990363535618781,-inf,6.944786096062378
balanced,gini,50.0,1.0,0.9990363535618781,-inf,6.944786096062378
balanced,gini,40.0,1.0,0.9990363535618781,-inf,6.944786096062378
balanced,gini,35.0,1.0,0.9990363535618781,-inf,6.944786096062378
balanced,gini,28.0,1.0,0.9990363535618781,-inf,6.944786096062378
balanced,gini,20.0,0.9996747634506393,0.998964080079019,8.030957796197969,6.872465434482793
balanced,gini,18.0,0.9995723741665813,0.9987713507913947,7.757261965720822,6.701839917452023
balanced,gini,16.0,0.9987893972884908,0.9980245248018502,6.716636934703157,6.226946302912076
balanced,gini,14.0,0.9985725729222504,0.9977836131923198,6.551881701627155,6.111876973127299
balanced,gini,12.0,0.9981991531803919,0.9974222457780241,6.319498269371587,5.960836715714425
balanced,gini,10.0,0.9976510693657284,0.9971090606856344,6.053795103638546,5.846173807394269
balanced,gini,8.0,0.9951334975577144,0.9946276711074706,5.32537978424116,5.226493778716193
balanced,gini,6.0,0.9944348412664952,0.9940253920836445,5.191229771120568,5.120236804011332
balanced,gini,4.0,0.9875807821336722,0.9873039581777446,4.38851017818535,4.36646500163496
balanced,gini,2.0,0.9614715146988851,0.9619841480160929,3.2563574333121217,3.269752048770499
