C,class_weight,degree,gamma,kernel,accuracy_val,std_accuracy_val,log_accuracy_val
1.0,,3,1,poly,0.99906033925228,0.00012630056764446527,-6.969991654523559
0.1,,3,3,poly,0.9990507512947658,9.895090548020042e-05,-6.959839722841533
0.1,,3,2,poly,0.9990459567414117,0.00010655928992263705,-6.954801543111858
0.01,,3,3,poly,0.9990123976259977,7.013511144004326e-05,-6.920230396686595
1.0,,3,2,poly,0.9990076036472406,8.248184241849912e-05,-6.9153879813253045
1.0,,3,3,poly,0.9989548676974428,0.00011898767005110795,-6.86361179626124
0.1,,2,3,poly,0.9989500731440885,5.119220957064229e-05,-6.859034778275774
1.0,,2,1,poly,0.9989404849567352,4.648209951697512e-05,-6.849943981900043
1.0,,2,3,poly,0.998940484956735,6.847534988841091e-05,-6.849943981899938
0.1,,2,2,poly,0.998935690977978,4.445510224503047e-05,-6.845429495999304
1.0,,2,2,poly,0.9989261024458665,4.124074187349505e-05,-6.836460674657915
0.1,,3,1,poly,0.9989165139137551,5.549959851187607e-05,-6.827571578560976
0.01,,3,2,poly,0.998887748662179,4.93652927229556e-05,-6.801369085472821
0.01,,3,1,poly,0.9988829544535831,5.7934083677117316e-05,-6.797067984062193
0.1,,2,1,poly,0.9988685722874726,7.935694070979134e-05,-6.7842749813412375
0.01,,2,3,poly,0.9988589841001195,8.107334770807085e-05,-6.775836273159438
0.01,,2,2,poly,0.9987391292299774,9.41906347120236e-05,-6.675952709390127
0.01,,2,1,poly,0.9984610667402803,6.676786094599373e-05,-6.47666579106985
1.0,,1,3,poly,0.9983747721347465,0.0001649535379955618,-6.4221072482596
1.0,,2,2,linear,0.9983651836026348,0.00010213553866981173,-6.41622477612799
1.0,,2,3,linear,0.9983651836026348,0.00010213553866981173,-6.41622477612799
1.0,,1,3,linear,0.9983651836026348,0.00010213553866981173,-6.41622477612799
1.0,,2,auto,linear,0.9983651836026348,0.00010213553866981173,-6.41622477612799
1.0,,3,1,linear,0.9983651836026348,0.00010213553866981173,-6.41622477612799
1.0,,3,2,linear,0.9983651836026348,0.00010213553866981173,-6.41622477612799
1.0,,1,auto,linear,0.9983651836026348,0.00010213553866981173,-6.41622477612799
1.0,,3,3,linear,0.9983651836026348,0.00010213553866981173,-6.41622477612799
1.0,,3,auto,linear,0.9983651836026348,0.00010213553866981173,-6.41622477612799
1.0,,2,1,linear,0.9983651836026348,0.00010213553866981173,-6.41622477612799
1.0,,1,2,linear,0.9983651836026348,0.00010213553866981173,-6.41622477612799
1.0,,1,1,poly,0.9983651836026348,0.00010213553866981173,-6.41622477612799
1.0,,1,1,linear,0.9983651836026348,0.00010213553866981173,-6.41622477612799
1.0,,1,2,poly,0.9983603896238777,0.00014744202704722483,-6.413296640906776
0.1,,1,3,poly,0.9983124467334816,5.590750277936274e-05,-6.384475570371544
0.1,,2,2,linear,0.9982261507489145,8.710203741335268e-05,-6.334603375545688
0.1,,1,3,linear,0.9982261507489145,8.710203741335268e-05,-6.334603375545688
0.1,,1,auto,linear,0.9982261507489145,8.710203741335268e-05,-6.334603375545688
0.1,,2,1,linear,0.9982261507489145,8.710203741335268e-05,-6.334603375545688
0.1,,2,auto,linear,0.9982261507489145,8.710203741335268e-05,-6.334603375545688
0.1,,2,3,linear,0.9982261507489145,8.710203741335268e-05,-6.334603375545688
