class_weight,criterion,max_depth,accuracy_val,std_accuracy_val,log_accuracy_val
,gini,18.0,0.998969587450498,0.00010779227012861453,6.877796023435653
balanced,entropy,18.0,0.9989657426275521,0.00018733404152532245,6.874071624344666
,gini,17.0,0.9989542081587143,8.562827271835902e-05,6.862980937650384
balanced,entropy,21.0,0.9989465185128225,0.00017425151591566907,6.855654897558302
,gini,16.0,0.9989465185128225,0.00010416561331955933,6.855654897558302
balanced,entropy,17.0,0.9989465185128225,0.00017168759707616145,6.855654897558302
,gini,21.0,0.9989426736898765,8.851447140004305e-05,6.852011906279795
balanced,entropy,16.0,0.9989426736898765,0.00016934688412125135,6.852011906279795
balanced,entropy,40.0,0.9989388288669308,0.00016555077197595667,6.848382138229316
balanced,entropy,45.0,0.9989388288669308,0.00016555077197595667,6.848382138229316
balanced,entropy,,0.9989388288669308,0.00016555077197595667,6.848382138229316
balanced,entropy,50.0,0.9989388288669308,0.00016555077197595667,6.848382138229316
balanced,entropy,23.0,0.9989388288669308,0.00016555077197595667,6.848382138229316
balanced,entropy,24.0,0.9989388288669308,0.00016555077197595667,6.848382138229316
balanced,entropy,25.0,0.9989388288669308,0.00016555077197595667,6.848382138229316
balanced,entropy,26.0,0.9989388288669308,0.00016555077197595667,6.848382138229316
balanced,entropy,27.0,0.9989388288669308,0.00016555077197595667,6.848382138229316
balanced,entropy,28.0,0.9989388288669308,0.00016555077197595667,6.848382138229316
balanced,entropy,29.0,0.9989388288669308,0.00016555077197595667,6.848382138229316
balanced,entropy,30.0,0.9989388288669308,0.00016555077197595667,6.848382138229316
balanced,entropy,22.0,0.9989388288669308,0.00016555077197595667,6.848382138229316
balanced,entropy,35.0,0.9989388288669308,0.00016555077197595667,6.848382138229316
,gini,19.0,0.9989388288669308,8.370772062393503e-05,6.848382138229316
,gini,20.0,0.9989388288669308,8.192270272853379e-05,6.848382138229316
,gini,40.0,0.9989349840439848,8.817982191684968e-05,6.844765497759123
,gini,24.0,0.9989349840439848,8.817982191684968e-05,6.844765497759123
,gini,22.0,0.9989349840439848,8.817982191684968e-05,6.844765497759123
,gini,,0.9989349840439848,8.817982191684968e-05,6.844765497759123
,gini,50.0,0.9989349840439848,8.817982191684968e-05,6.844765497759123
,gini,45.0,0.9989349840439848,8.817982191684968e-05,6.844765497759123
,gini,23.0,0.9989349840439848,8.817982191684968e-05,6.844765497759123
,gini,35.0,0.9989349840439848,8.817982191684968e-05,6.844765497759123
,gini,26.0,0.9989349840439848,8.817982191684968e-05,6.844765497759123
,gini,29.0,0.9989349840439848,8.817982191684968e-05,6.844765497759123
,gini,28.0,0.9989349840439848,8.817982191684968e-05,6.844765497759123
,gini,27.0,0.9989349840439848,8.817982191684968e-05,6.844765497759123
,gini,30.0,0.9989349840439848,8.817982191684968e-05,6.844765497759123
,gini,25.0,0.9989349840439848,8.817982191684968e-05,6.844765497759123
,entropy,21.0,0.9989311392210389,0.0001521500937168606,6.841161890255819
balanced,entropy,15.0,0.9989272943980929,0.00017509781286072915,6.837571222124981
balanced,entropy,20.0,0.9989196047522011,0.0001554183777262329,6.830428334612591
,entropy,19.0,0.9989157599292554,0.00016429590233551207,6.826875933008424
,entropy,20.0,0.9989119151063095,0.00016157408119843453,6.8233361063032945
balanced,entropy,19.0,0.9989119151063093,0.00015693284349232217,6.82333610630309
,entropy,23.0,0.9989080702833635,0.00014559649528056743,6.819808765785219
,entropy,27.0,0.9989080702833635,0.00014559649528056743,6.819808765785219
,entropy,24.0,0.9989080702833635,0.00014559649528056743,6.819808765785219
,entropy,25.0,0.9989080702833635,0.00014559649528056743,6.819808765785219
,entropy,26.0,0.9989080702833635,0.00014559649528056743,6.819808765785219
,entropy,29.0,0.9989080702833635,0.00014559649528056743,6.819808765785219
,entropy,28.0,0.9989080702833635,0.00014559649528056743,6.819808765785219
,entropy,30.0,0.9989080702833635,0.00014559649528056743,6.819808765785219
,entropy,35.0,0.9989080702833635,0.00014559649528056743,6.819808765785219
,entropy,40.0,0.9989080702833635,0.00014559649528056743,6.819808765785219
,entropy,,0.9989080702833635,0.00014559649528056743,6.819808765785219
,entropy,45.0,0.9989080702833635,0.00014559649528056743,6.819808765785219
,entropy,50.0,0.9989080702833635,0.00014559649528056743,6.819808765785219
,entropy,22.0,0.9989080702833635,0.00014559649528056743,6.819808765785219
,gini,15.0,0.9988965358145258,7.74710357168845e-05,6.809300788186789
,entropy,16.0,0.9988926909915797,0.00014313899395583592,6.80582252381036
,entropy,12.0,0.998888846168634,0.00022888809360046403,6.802356315834068
,entropy,17.0,0.9988850013456879,0.00014989879418372248,6.798902080965776
,entropy,15.0,0.9988850013456879,0.00012867238671754962,6.798902080965776
,entropy,18.0,0.9988734668768503,0.0001035963980568721,6.788610394929314
balanced,gini,22.0,0.9988696220539044,0.0002199964550874081,6.785203236607695
balanced,gini,21.0,0.9988657772309585,0.0002164741168097186,6.781807647606552
,entropy,14.0,0.9988657772309585,0.00016803239942643413,6.781807647606552
balanced,entropy,13.0,0.9988619324080126,0.0002039568950728647,6.778423549622307
balanced,gini,,0.9988542427621209,0.00021565309950219127,6.77168951744105
balanced,gini,50.0,0.9988542427621209,0.00021565309950219127,6.77168951744105
balanced,gini,40.0,0.9988542427621209,0.00021565309950219127,6.77168951744105
balanced,gini,35.0,0.9988542427621209,0.00021565309950219127,6.77168951744105
balanced,gini,30.0,0.9988542427621209,0.00021565309950219127,6.77168951744105
balanced,gini,29.0,0.9988542427621209,0.00021565309950219127,6.77168951744105
