Run Date,Description,Model,roc auc,accuracy,precision,recall
,"exec_mode = restricted
fact = 0.1
oversamp = 0
mode_exactDate = added_u
strip_number = True",DecisionTreeClassifier_CV,98.287640,99.946036,94.059406,96.610169
,,DecisionTreeClassifier,98.118148,99.944108,94.039735,96.271186
,,RandomForestClassifier,97.951564,99.947963,94.966443,95.932203
,,NeuralNetwork,96.585940,99.913271,91.666667,93.220339
,,SVC_CV,95.731699,99.890144,89.403974,91.525424
,,SVC,95.059548,99.893998,91.095890,90.169492
,,,,,,
27.03.2020,"project
commit 1afda2531cdb277b921fc8e0fb1b7029168072cd
exec_mode = restricted
fact = 1.0
oversamp = 0
mode_exactDate = xor
strip_number = False",DecisionTreeClassifier_CV,98.451316,99.936399,92.258065,96.949153
,,RandomForestClassifier,97.776258,99.934472,93.069307,95.593220
,,NeuralNetwork,97.097323,99.924835,92.666667,94.237288
,,DecisionTreeClassifier,97.092477,99.915199,91.147541,94.237288
,,SVC_CV,95.740421,99.907489,92.150171,91.525424
,,SVC,94.552042,99.890144,91.319444,89.152542
,"exec_mode = restricted
fact = 0.1
oversamp = 0
mode_exactDate = added_u
strip_number = True",DecisionTreeClassifier_CV,98.116210,99.940254,93.421053,96.271186
,,RandomForestClassifier,97.950595,99.946036,94.648829,95.932203
,,DecisionTreeClassifier,97.768504,99.919053,90.675241,95.593220
,,Neural Network,96.747679,99.899780,89.320388,93.559322
,,SVC_CV,95.733637,99.893998,90.000000,91.525424
,,SVC,94.885210,99.882435,89.527027,89.830508
,,,,,,
28.03.2020,"project
commit b243cb812cd7f578c3c2fdbba09ef37b7427535d
exec_mode = full
fact = 1.0
oversamp = 0
sampling_fraction_reb = 0.4
mode_exactDate = added_u
strip_number = True",DecisionTreeClassifier_CV,97.762689,99.871005,95.270270,95.593220
,,RandomForestClassifier,97.268752,99.885338,97.212544,94.576271
,,SVC_CV,97.072608,99.828006,93.602694,94.237288
,,DecisionTreeClassifier,96.927346,99.871005,96.853147,93.898305
,,SVC,96.225150,99.804118,93.493151,92.542373
,,NeuralNetwork,92.869241,99.775453,98.062016,85.762712
,"exec_mode = restricted
fact = 1.0
oversamp = 0
sampling_fraction_reb = 0.4
mode_exactDate = xor
strip_number = False",DecisionTreeClassifier_CV,98.610146,99.894893,95.348837,97.288136
,,RandomForestClassifier,97.096838,99.875782,96.864111,94.237288
,,DecisionTreeClassifier,96.905539,99.828006,93.898305,93.898305
,,SVC_CV,96.215459,99.785008,92.229730,92.542373
,,NeuralNetwork,95.736059,99.828006,96.085409,91.525424
,,SVC,95.200932,99.761120,92.387543,90.508475
,"exec_mode = restricted
fact = 0.1
oversamp = 0
sampling_fraction_reb = 0.4
mode_exactDate = added_u
strip_number = True",DecisionTreeClassifier_CV,97.762689,99.871005,95.270270,95.593220
,,RandomForestClassifier,97.607735,99.894893,97.231834,95.254237
,,DecisionTreeClassifier,96.581094,99.847117,95.818815,93.220339
,,NeuralNetwork,96.406757,99.832784,95.138889,92.881356
,,SVC,96.067774,99.823229,95.104895,92.203390
,,SVC_CV,95.898282,99.818451,95.087719,91.864407
,"exec_mode = full
fact = 1.0
oversamp = 20
modification_ratio = 0.2
sampling_fraction_reb = 0.4
mode_exactDate = added_u
strip_number = True",RandomForestClassifier,99.924360,99.917811,99.836407,99.955331
,,DecisionTreeClassifier_CV,99.889559,99.891394,99.843715,99.880881
,,NeuralNetwork,99.887312,99.885523,99.814030,99.895771
,,SVC_CV,99.882466,99.879652,99.799182,99.895771
,,DecisionTreeClassifier,99.846541,99.850299,99.791620,99.828767
,,SVC,99.838149,99.838558,99.754519,99.836212
,"exec_mode = tune
fact = 1.0
oversamp = 0
sampling_fraction_reb = 0.4
mode_exactDate = added_u
strip_number = True",DecisionTreeClassifier_CV,97.762689,99.871005,95.270270,95.593220
,,RandomForestClassifier,97.101683,99.885338,97.543860,94.237288
,,DecisionTreeClassifier,97.070185,99.823229,93.288591,94.237288
,,SVC_CV,96.556865,99.799341,92.592593,93.220339
,,NeuralNetwork,95.905551,99.832784,96.099291,91.864407
,,SVC,95.883744,99.789785,93.127148,91.864407
,,,,,,
30.03.2020,"project
commit 347d371e3816cf950120a1050f1fd3294b30ce30
exec_mode = tune
fact = 1.0
oversamp = 0
sampling_fraction_reb = 1
mode_exactDate = added_u
strip_number = True",RandomForestClassifier,97.951564,99.947963,94.966443,95.932203
,,DecisionTreeClassifier_CV,98.116210,99.940254,93.421053,96.271186
,,DecisionTreeClassifier,97.272629,99.938326,94.576271,94.576271
,"project
commit 25ff4a5508616d4f6da0b650c77acc7685c33af6
exec_mode = tune
fact = 1.0
oversamp = 0
sampling_fraction_reb = 1
mode_exactDate = added_u
strip_number = True",SVC_CV,96.245019,99.905562,91.000000,92.542373
31.03.2020,"project
commit e8502fbc56da0d3cab5e19b022104d20dceefad9
same as above, different grid parameters",SVC_CV,96.245019,99.905562,91.000000,92.542373
,"project
commit c26454cf6838a354dbf42017b5c5a86346358add
same as above, different grid parameters",SVC_CV,95.568022,99.899780,91.186441,91.186441
,"project
commit 96312ff1113491d7201aff2ce0717359575cd814
same as above, different grid parameters",SVC_CV,95.907005,99.903635,91.245791,91.864407
,"project
commit 035ba69a736115a495ae31455f207fb1d377c620
same as above, different grid parameters",SVC_CV,95.907005,99.903635,91.245791,91.864407
01.04.2020,"project
commit 29ff12700694247688341a07c9d4c924863fdbfe
exec_mode = tune
fact = 1.0
oversamp = 0
sampling_fraction_reb = 1
mode_exactDate = added_u
strip_number = True",NeuralNetwork,98.613055,99.922908,89.968652,97.288136
,"project
commit 1ef2cb46b9c160f86577a4131c777936a6ef0e0f
same run with same parameter grid as above",NeuralNetwork,97.59126,99.901708,88.36478,95.254237
,"project
commit 2efb00b473633607b7c56a670a27e3cee135de42
same as above, different grid parameters",NeuralNetwork,98.444532,99.922908,90.22082,96.949153
,,,,,,
04.04.2020,"project
commit 01c781c7bce426788ed02b6f9edec3a76b5be1f5
exec_mode = full
fact = 1.0
oversamp = 0
sampling_fraction_reb = 0.1
mode_exactDate = added_u
strip_number = True",RandomForestClassifier,99.394607,99.761643,96.688742,98.983051
,,DecisionTreeClassifier,99.045933,99.706637,96.345515,98.305085
,,DecisionTreeClassifier_CV,99.045933,99.706637,96.345515,98.305085
,,SVC_CV,98.377658,99.651632,96.621622,96.949153
,,SVC,97.878875,99.614961,96.917808,95.932203
,,NeuralNetwork,99.617289,99.578291,93.037975,99.661017
,"exec_mode = restricted
fact = 1.0
oversamp = 0
sampling_fraction_reb = 0.1
mode_exactDate = xor
strip_number = False",RandomForestClassifier,99.075008,99.761643,97.315436,98.305085
,,DecisionTreeClassifier_CV,99.007165,99.633297,95.081967,98.305085
,,DecisionTreeClassifier,98.358275,99.614961,95.973154,96.949153
,,NeuralNetwork,98.677874,99.614961,95.364238,97.627119
,,SVC_CV,97.830416,99.523286,95.286195,95.932203
,,SVC,96.614900,99.339934,94.197952,93.559322
,"exec_mode = restricted
fact = 0.1
oversamp = 0
sampling_fraction_reb = 0.1
mode_exactDate = added_u
strip_number = True",RandomForestClassifier,99.075008,99.761643,97.315436,98.305085
,,DecisionTreeClassifier_CV,99.225116,99.743308,96.677741,98.644068
,,DecisionTreeClassifier,99.045933,99.706637,96.345515,98.305085
,,SVC_CV,98.687566,99.633297,95.681063,97.627119
,,NeuralNetwork,98.188783,99.596626,95.959596,96.610169
,,SVC,98.179091,99.578291,95.637584,96.610169
,"exec_mode = full
fact = 1.0
oversamp = 0.2
modification_ratio = 0.2
sampling_fraction_reb = 0.1
mode_exactDate = added_u
strip_number = True",RandomForestClassifier,99.853147,99.908558,99.895857,99.977665
,,DecisionTreeClassifier_CV,99.810658,99.881663,99.866131,99.970220
,,NeuralNetwork,99.794997,99.876284,99.851290,99.977665
,,DecisionTreeClassifier,99.789799,99.860147,99.858673,99.947886
,,SVC,99.813676,99.860147,99.888360,99.918106
,,SVC_CV,99.761495,99.827874,99.851190,99.910661
,"exec_mode = tune
fact = 1.0
oversamp = 0
sampling_fraction_reb = 0.1
mode_exactDate = added_u
strip_number = True",RandomForestClassifier,99.234808,99.761643,97.000000,98.644068
,,DecisionTreeClassifier,99.045933,99.706637,96.345515,98.305085
,,DecisionTreeClassifier_CV,99.365532,99.706637,95.737705,98.983051
,,SVC_CV,98.028983,99.596626,96.271186,96.271186
,,NeuralNetwork,98.179091,99.578291,95.637584,96.610169
,,SVC,98.009600,99.559956,95.622896,96.271186
